Rank,Puzzles,AMT (s),Solved rate,1-sigma Mean (s),1-sigma STD (s),Solution(s)
229,1 4 6 8,6.32,95%,6.72,2.59,"(6+1-4)*8, (8-4)*6*1, 8/(1-4/6) "
230,2 3 11 12,6.32,94.9%,6.89,2.85,12+11+3-2 
231,7 7 12 13,6.32,93.9%,6.76,2.42,"7*7-13-12, 13+12-7/7 "
232,1 4 8 8,6.35,96.8%,6.84,2.52,"(8-4-1)*8, (8*4-8)*1, (8/4+1)*8 "
233,1 10 12 12,6.36,96%,6.96,2.92,(12-10)*12*1 
234,3 6 7 8,6.37,97.9%,6.8,2.29,"8+7+6+3, (8+3-7)*6, (7-6)*8*3 "
235,2 7 8 12,6.38,95.3%,6.84,2.59,"(12-7-2)*8, (8-7)*12*2 "
236,6 7 11 12,6.38,96.9%,6.91,2.6,"(7+6-11)*12, 12+11+7-6, (12-6)*(11-7) "
237,1 2 10 11,6.39,97.6%,6.73,2.38,11+10+2+1 
238,1 2 3 12,6.4,96.4%,6.93,2.59,"(3+1-2)*12, (3+1)*12/2, 12/(3/2-1) "
239,1 2 12 12,6.4,96.3%,6.73,2.19,"(2+1)*12-12, (12+12)*(2-1) "
240,4 8 9 9,6.4,90.7%,6.62,2.4,(4-9/9)*8 
241,1 2 2 8,6.41,93.5%,6.83,2.71,"(2+2-1)*8, (2*2-1)*8 "
242,1 5 8 9,6.41,94.3%,6.92,2.72,"(9-5-1)*8, (9-1)*(8-5), 9/(1-5/8) "
243,4 4 10 13,6.43,93.6%,6.9,2.85,"(4+4)*(13-10), 4/4+13+10 "
244,7 9 11 11,6.43,95.8%,6.91,2.69,11+11+9-7 
245,10 10 10 13,6.43,93.4%,6.9,3.01,10/10+13+10 
246,1 4 4 5,6.44,96.7%,7.01,2.74,(5*4+4)*1 
247,2 12 12 12,6.45,98.4%,6.79,2.43,"12*2+12-12, (12+12)/2+12 "
248,2 12 12 13,6.46,95.7%,6.87,2.43,"(13-12)*12*2, (13-12/12)*2 "
249,6 6 11 12,6.46,89.4%,6.81,3.01,6/6+12+11 
250,1 1 3 11,6.47,94.8%,6.75,2.03,(11+1)*(3-1) 
251,2 5 6 12,6.47,95.5%,6.84,2.52,"12*6/(5-2), 12*5/2-6, (5-6/2)*12, (6-5)*12*2, 6*5-12/2 "
252,4 6 12 13,6.47,93.8%,6.92,2.92,(13-12)*6*4 
253,1 3 8 9,6.48,92%,7.09,3.4,"9*8*1/3, 3/(9/8-1) "
254,1 2 8 8,6.49,96.2%,7.07,2.77,"(8*2+8)*1, (8/2-1)*8 "
255,3 12 13 13,6.49,91.3%,6.69,2.35,(3-13/13)*12 
256,12 13 13 13,6.49,94.9%,6.86,2.42,"13+12-13/13, (13+13)*12/13 "
257,1 6 9 9,6.5,97.6%,6.97,2.5,"(9-1)*(9-6), (9+9+6)*1 "
258,3 6 10 11,6.5,96.1%,7.19,2.94,"11+10+6-3, (11+3-10)*6 "
259,1 2 4 6,6.51,96%,6.91,2.55,"(2-1)*6*4, (6+2)*(4-1) "
260,2 6 6 12,6.51,97.8%,7.08,2.63,"(12-6-2)*6, (12-6)*(6-2), 12*2+6-6, (6*6+12)/2, (12/6+2)*6 "
261,4 7 12 12,6.51,88.7%,6.84,3.06,"(7-4)*12-12, (12*7+12)/4, (7-12/12)*4 "
262,10 11 11 13,6.51,95.1%,6.96,2.67,"(13+11)*(11-10), 11/11+13+10 "
263,1 4 12 12,6.52,91.4%,6.79,2.6,"(4-1)*12-12, (12/4-1)*12 "
264,1 5 7 8,6.52,94.9%,6.93,2.53,"(7+1-5)*8, (7+1)*(8-5) "
265,1 6 6 13,6.53,97.5%,6.93,2.48,"13+6+6-1, 6*6+1-13 "
266,2 8 11 11,6.53,88.8%,6.73,2.9,(11/11+2)*8 
267,4 5 6 6,6.53,95.5%,6.89,2.4,"(6-5)*6*4, (6/6+5)*4 "
268,1 3 6 6,6.54,97.4%,7.06,2.65,"(6+1-3)*6, (6+6)*(3-1), (6*3+6)*1 "
269,1 8 8 9,6.54,96.5%,7.05,2.72,9+8+8-1 
270,1 9 12 12,6.56,92.9%,6.96,2.79,(12-9-1)*12 
271,3 9 9 12,6.56,95.1%,7,2.62,"9*3+9-12, 9/3+12+9, (3-9/9)*12, (12-9)*9-3 "
272,1 4 6 13,6.59,97.7%,7.02,2.35,"13+6+4+1, (13-6-1)*4, (13-1)*(6-4) "
273,2 4 5 12,6.59,94.8%,7.05,2.87,"(12-4)*(5-2), (5-2)*4+12, (5-4)*12*2 "
274,3 7 9 9,6.59,90.8%,7.03,2.9,"(9+3)*(9-7), (9*7+9)/3, (9/9+7)*3 "
275,1 3 3 5,6.6,95.3%,6.92,2.52,"(5+3)*3*1, (3+3)*(5-1) "
276,3 4 5 8,6.6,96.4%,7.09,2.68,"8*4-5-3, (5+3)*4-8, (8+3-5)*4, (8+4)*(5-3), (5-4)*8*3, (5+4)*8/3 "
277,6 10 10 10,6.6,95.9%,6.85,2.3,10+10+10-6 
278,4 6 7 8,6.61,95.7%,7.09,2.56,"(6+4-7)*8, (8-7)*6*4 "
279,3 5 11 11,6.62,94.9%,7.15,2.96,11+11+5-3 
280,4 5 9 9,6.62,88.4%,6.84,2.85,(9/9+5)*4 
281,1 7 8 12,6.63,95.6%,7.08,2.69,"(8+1-7)*12, (7-1)*(12-8) "
282,2 2 2 11,6.63,92.4%,7.01,2.87,"(2/2+11)*2, (11+2)*2-2 "
283,2 8 8 13,6.63,92.9%,7.08,2.66,"(13-8-2)*8, (8*2-13)*8, (13-8/8)*2 "
284,3 10 10 12,6.63,94.8%,7,2.37,"12/3+10+10, (10+10-12)*3, (3-10/10)*12 "
285,1 6 7 11,6.64,97.4%,7.21,2.88,"(11-7)*6*1, (6-1)*7-11, (11+7+6)*1 "
286,3 7 7 12,6.64,90.2%,6.83,2.61,(3-7/7)*12 
287,4 6 12 12,6.64,97.1%,7.13,2.49,"(12-6-4)*12, 6*4+12-12, 12*6-12*4, (4-12/6)*12 "
288,2 3 4 6,6.65,97.9%,7.07,2.32,"(3-2)*6*4, 6*3+4+2, (4+2)*3+6, (6-3)*4*2, (6+4-2)*3, (4/2+6)*3, 6*2+4*3, (6*2-4)*3, (6/2+3)*4 "
289,2 3 11 13,6.65,92%,7.15,2.97,(13+11)*(3-2) 
290,2 8 10 11,6.65,95.1%,7.18,2.77,"(11+2-10)*8, (10-2)*(11-8), 10/2+11+8, 11*2+10-8, (10-8)*11+2 "
291,2 10 11 12,6.65,96%,6.99,2.44,"11*2+12-10, (11-10)*12*2, (12-10)*11+2 "
292,4 5 13 13,6.65,87.4%,6.87,2.96,(13/13+5)*4 
293,8 8 8 10,6.65,90.5%,6.96,3,(10-8)*8+8 
294,2 8 9 12,6.67,95.3%,7.08,2.75,"9*8/2-12, (9-8)*12*2, (9-12/2)*8, (8/12+2)*9 "
295,2 11 13 13,6.68,94.3%,7.09,2.64,"13*2+11-13, (13-11)*13-2, (13+13)/2+11, (13/13+11)*2 "
296,4 6 11 12,6.68,93%,7.09,2.99,(12-11)*6*4 
297,1 2 3 6,6.69,97.2%,7.16,2.43,"(3+2-1)*6, (6+2)*3*1, (3-1)*6*2 "
298,1 3 3 7,6.69,96.1%,7.49,3.39,(7*3+3)*1 
299,1 3 5 8,6.69,95.3%,7.43,3.09,"(5+1-3)*8, 5*3+8+1, (8-3)*5-1 "
300,1 4 4 7,6.69,96.2%,7.38,3.19,"4*4+7+1, (7*4-4)*1 "
301,3 6 6 7,6.7,93.9%,7.19,2.74,"7*6-6*3, (7+3-6)*6, (6/6+7)*3 "
302,1 5 10 12,6.71,92.1%,7.15,3.1,"12*10*1/5, 12/(1-5/10) "
303,1 1 2 7,6.72,95.6%,6.95,2.08,(7+1)*(2+1) 
304,1 3 3 9,6.72,96.9%,7.34,2.87,"(9-3)*(3+1), (9+3)*(3-1), (3-1/3)*9, (9*3-3)*1 "
305,4 4 4 4,6.72,97.9%,7.26,2.97,4*4+4+4 
306,1 2 10 13,6.73,97.1%,7.26,2.78,13+10+2-1 
307,1 6 8 10,6.73,97.3%,7.15,2.46,"(10-6-1)*8, (10+8+6)*1, 6/(10/8-1) "
308,2 2 8 12,6.73,98.1%,7.16,2.33,"12+8+2+2, 12*8/(2+2), 12*8/2/2, 2*2+12+8, (8-2)*2+12, (8/2-2)*12 "
309,3 7 13 13,6.73,87.5%,6.84,2.84,(13/13+7)*3 
310,3 8 9 10,6.73,96.2%,7.11,2.56,"(10-9)*8*3, 10+9+8-3, (9+3)*(10-8) "
311,7 8 11 12,6.73,96.3%,7.2,2.69,"12+11+8-7, 12*8/(11-7) "
312,1 2 5 5,6.74,95.1%,7.29,2.97,5*5+1-2 
313,2 2 5 5,6.74,93.5%,7.11,2.49,"5*5-2/2, (5+5+2)*2 "
314,5 6 6 7,6.74,97.8%,7.2,2.41,"7+6+6+5, (6+5-7)*6, 6*6-7-5, (6+6)*(7-5) "
315,1 3 13 13,6.75,97.3%,7.26,2.63,13+13+1-3 
316,1 5 8 10,6.75,96.6%,7.24,2.57,"10+8+5+1, (10/5+1)*8 "
317,1 4 7 13,6.76,96.7%,7.33,2.91,"(13-7)*4*1, (13+7+4)*1 "
318,1 10 11 12,6.76,95.1%,7.15,2.55,"(11+1-10)*12, (11+1)*(12-10) "
319,4 4 12 13,6.76,92%,7.11,2.58,"13+12-4/4, (13-4)*4-12 "
320,6 8 10 12,6.77,97.4%,7.37,2.81,"8*6/(12-10), 12+10+8-6, (10+6)*12/8, 12*8/(10-6), (10-8)*6+12 "
321,9 9 10 13,6.77,91.1%,6.98,2.75,9/9+13+10 
322,1 7 7 11,6.79,97.1%,7.32,2.65,"11+7+7-1, (7-1)*(11-7) "
323,3 7 11 11,6.79,87.8%,7.01,3.19,(11/11+7)*3 
324,1 2 5 6,6.8,94.4%,7.32,2.85,"(5+1-2)*6, (5+1)*(6-2), (6+5+1)*2 "
325,1 12 12 12,6.8,93.9%,7.03,2.62,(12/12+1)*12 
326,2 2 2 4,6.8,96.1%,7.16,2.49,"(4+2)*(2+2), (2+2+2)*4, (4+2)*2*2, (2*2+2)*4 "
327,4 4 5 5,6.8,93.4%,7.31,2.69,"5*5-4/4, (5+5-4)*4, (4/5+4)*5 "
328,5 7 10 12,6.8,96.8%,7.27,2.52,"(7+5)*(12-10), (7+5-10)*12, 12+10+7-5 "
329,1 3 3 3,6.81,95.7%,7.2,2.56,"(3+3)*(3+1), (3*3-1)*3 "
330,3 3 5 6,6.81,96.5%,7.42,2.69,"6*5-3-3, (3+3)*5-6, (3*3-5)*6, (5-3/3)*6, (5+3)*(6-3), 5*3+6+3, (6+5-3)*3 "
331,6 7 12 13,6.81,95.4%,7.31,2.77,"13+12+6-7, (13-7)*6-12 "
332,1 1 2 9,6.82,95.1%,7.14,2.32,(9-1)*(2+1) 
333,2 5 6 11,6.82,96.3%,7.3,2.65,"11+6+5+2, (11-5-2)*6, (11-5)*(6-2), (11+6-5)*2 "
334,3 3 12 13,6.82,93.4%,7.27,2.68,"13+12-3/3, 13*3-12-3 "
335,1 4 8 13,6.83,97.5%,7.22,2.49,"13+8+4-1, (13+1-8)*4, (13-1)*8/4 "
336,2 11 11 13,6.85,95.1%,7.39,2.85,"11*2+13-11, (11+11)/2+13, (13-11/11)*2, (13-11)*11+2 "
337,3 4 10 13,6.85,96.6%,7.3,2.82,"13+10+4-3, (13+3-10)*4, 10*4-13-3 "
338,1 6 8 11,6.86,97.8%,7.31,2.44,"11+8+6-1, (11+1-8)*6, (11+1)*(8-6) "
339,1 2 5 7,6.87,95.2%,7.2,2.64,"(7+5)*2*1, (7+1)*(5-2), (7-2)*5-1 "
340,1 9 11 12,6.87,94%,7.37,3.14,(11-9)*12*1 
341,4 7 7 7,6.87,88.7%,7.1,3.06,(7-7/7)*4 
342,4 8 8 8,6.87,94.6%,7.3,2.81,"(8-4)*8-8, 8*8/4+8, (4-8/8)*8 "
343,5 7 11 11,6.87,96.3%,7.3,2.64,"11+11+7-5, (11-5)*(11-7) "
344,8 9 11 12,6.87,95.2%,7.55,3.12,12+11+9-8 
345,2 2 2 13,6.91,93.8%,7.3,2.83,"(13-2/2)*2, (13-2)*2+2 "
346,5 6 7 7,6.91,87.3%,7,2.84,(5-7/7)*6 
347,7 7 10 13,6.91,90%,7.23,3.19,7/7+13+10 
348,1 1 3 5,6.92,95.5%,7.27,2.34,(5+1)*(3+1) 
349,2 3 12 13,6.92,96%,7.45,2.71,13+12+2-3 
350,2 4 4 8,6.92,96.6%,7.33,2.68,"(4+2)*(8-4), 8*4-4*2, 4*4*2-8, (8+2-4)*4, (8+4)*(4-2), (8+4)*4/2, (8-4/2)*4, 8*2+4+4, (4+4)*2+8, (4/4+2)*8 "
351,7 8 12 13,6.92,96.8%,7.44,2.63,"(8+7-13)*12, 13+12+7-8, (13-7)*(12-8) "
352,1 1 4 9,6.94,93.7%,7.17,2.37,(9-1)*(4-1) 
353,1 5 6 6,6.94,93.9%,7.65,3.51,(6*5-6)*1 
354,3 4 5 7,6.94,96.5%,7.44,2.72,"4*3+7+5, (7-5)*4*3, (5+3)*(7-4), 5*4+7-3, (7-3)*5+4, (7+5-4)*3 "
355,4 4 4 8,6.94,96.5%,7.55,2.95,"8*4-4-4, (4+4)*4-8, (4-4/4)*8, (8/4+4)*4 "
356,7 9 13 13,6.94,96.6%,7.48,2.73,"13+13+7-9, (13-7)*(13-9) "
357,8 9 12 13,6.94,96.2%,7.49,2.73,"13+12+8-9, 12*8/(13-9) "
358,11 12 12 13,6.94,97.2%,7.54,2.73,"13+12+11-12, 13*12-12*11 "
359,2 6 6 8,6.96,95.7%,7.56,3.05,"(8-6)*6*2, (6*2-8)*6, (8+2-6)*6, (6-6/2)*8, (6/6+2)*8 "
360,1 2 11 13,6.97,93.7%,7.6,3.2,(13+11)*(2-1) 
361,3 3 3 3,6.97,96.1%,7.66,3.43,3*3*3-3 
362,3 8 8 9,6.98,95.7%,7.36,2.57,"(9-8)*8*3, (9-8/8)*3 "
363,3 3 3 10,7,94.6%,7.53,3.14,"10*3-3-3, (10-3)*3+3 "
364,9 11 11 11,7,95.5%,7.37,2.76,11+11+11-9 
365,1 6 6 10,7.01,93.6%,7.34,3.12,(10-6)*6*1 
366,2 4 13 13,7.01,95.9%,7.55,2.79,"13+13+2-4, 13+13-4/2 "
367,4 7 10 11,7.01,97.2%,7.61,2.84,"11+10+7-4, (10-4)*(11-7), (10+7-11)*4 "
368,11 11 12 13,7.01,95.5%,7.5,2.55,"13+12-11/11, (13+11)*(12-11) "
369,1 3 4 4,7.02,93.6%,7.36,3.11,"(4+4)*3*1, (4+3-1)*4 "
370,1 9 10 12,7.02,94%,7.43,2.88,(10+1-9)*12 
371,4 5 11 11,7.02,87.4%,7.49,3.83,"(11-4)*5-11, (11/11+5)*4 "
372,8 9 10 13,7.02,96%,7.52,2.72,"9*8/(13-10), 13+10+9-8 "
373,1 2 2 11,7.03,97.3%,7.61,2.94,"(11+2-1)*2, (11*2+2)*1 "
374,3 3 4 4,7.03,94.6%,7.41,2.65,"4*3+4*3, (4*3-4)*3 "
375,9 10 11 12,7.03,96.1%,7.57,2.84,"12+11+10-9, (11+9)*12/10 "
376,4 7 8 8,7.04,94.4%,7.47,2.65,"(7+4-8)*8, 8*7-8*4, (7-8/8)*4 "
377,1 3 6 7,7.05,96.3%,7.42,2.79,"(7-3)*6*1, (7+1)*(6-3), 6*3+7-1, (7-1)*3+6 "
378,2 4 5 8,7.05,95.3%,7.48,2.84,"(8-5)*4*2, (4*2-5)*8, (5+2-4)*8, (5-4/2)*8, 8*5/2+4, 5*4+8/2, (5*4-8)*2 "
379,2 6 10 12,7.05,95.4%,7.53,2.81,"(10-6-2)*12, (12-10)*6*2, (6*2-10)*12, (10+2)*12/6, (12+2-10)*6, (10-6)*12/2, (10-12/2)*6, (10*6-12)/2, (12/6+10)*2 "
380,8 8 12 13,7.05,92.4%,7.4,2.74,13+12-8/8 
381,2 2 12 13,7.06,92.7%,7.37,2.68,13+12-2/2 
382,2 5 5 13,7.06,92.3%,7.5,2.86,"(13-5)*(5-2), (5*5-13)*2, (13-5/5)*2 "
383,4 5 7 7,7.06,91.1%,7.63,3.68,"7*5-7-4, (7/7+5)*4 "
384,4 6 9 10,7.06,94.2%,7.59,3.26,"(10-9)*6*4, 10*6/4+9, 10*6-9*4, (10*9+6)/4 "
385,6 8 11 11,7.06,94.3%,7.63,3.17,11+11+8-6 
386,2 8 12 12,7.07,95.4%,7.41,2.62,"(12-8-2)*12, 12*12/(8-2), (12-8)*12/2, (8-12/2)*12, 12/(2-12/8), (12/12+2)*8 "
387,4 4 4 12,7.07,96.5%,7.56,2.93,"12+4+4+4, (4+4)*12/4, 4*4+12-4 "
388,1 1 6 12,7.08,91.1%,7.63,3.5,(1+1)*6+12 
389,2 6 7 12,7.08,92.4%,7.34,3,(7-6)*12*2 
390,5 6 9 9,7.08,90.6%,7.4,2.87,"(9-6)*5+9, (5-9/9)*6 "
391,1 2 6 7,7.09,95.6%,7.47,2.59,"(7-2-1)*6, (7+6-1)*2, (7+1)*6/2, (7-1)*(6-2) "
392,1 2 11 12,7.09,96.9%,7.77,3.19,"12+11+2-1, 2/(1-11/12) "
393,1 3 5 13,7.09,94.6%,7.51,2.73,"(13-5)*3*1, (13-1)*(5-3) "
394,1 11 12 12,7.09,94.5%,7.67,3.19,(12+1-11)*12 
395,3 6 9 9,7.09,94%,7.68,3.31,"9*3+6-9, (9-6)*9-3, (9/9+3)*6 "
396,4 7 13 13,7.09,87.5%,7.35,3.18,(7-13/13)*4 
397,8 8 10 13,7.1,90.8%,7.53,3.16,"8/8+13+10, 13*8-10*8 "
398,2 5 5 8,7.11,88.6%,7.31,3.25,(5/5+2)*8 
399,3 6 6 12,7.11,95.6%,7.78,2.98,"6*3+12-6, 12*6/(6-3), 6*6/3+12, 12*3-6-6, (6+6)*3-12, (3-6/6)*12, (12-6)*3+6, (12/6+6)*3 "
400,5 5 10 10,7.11,86.7%,7.43,3.28,5*5-10/10 
401,5 6 13 13,7.11,87.1%,7.18,2.88,(5-13/13)*6 
402,1 3 10 12,7.12,96.6%,7.6,2.75,12+10+3-1 
403,1 6 8 8,7.12,93.3%,7.46,3.02,"(8+1-6)*8, 8/(8/6-1) "
404,2 3 5 5,7.12,96.1%,7.62,2.91,"5*5+2-3, (5+5-2)*3, (5+3)*(5-2) "
405,2 9 9 11,7.12,87.7%,7.18,2.85,(9/9+11)*2 
406,6 7 10 13,7.12,96.7%,7.64,2.79,"13+10+7-6, (13-7)*(10-6), (10+7-13)*6 "
407,1 2 3 5,7.13,95.6%,7.47,2.45,"(5+3)*(2+1), (5+2+1)*3, (5-1)*3*2, (3+2)*5-1 "
408,2 6 7 13,7.13,96.7%,7.55,2.72,"13+7+6-2, (13-7)*(6-2), (13-7-2)*6, (13+6-7)*2 "
409,3 3 3 7,7.14,91.9%,7.53,3.25,"(3+3)*(7-3), (3/3+7)*3 "
410,1 3 10 11,7.15,96.2%,7.77,3.17,"11*3+1-10, (11+10+3)*1 "
411,6 9 12 12,7.15,89.1%,7.69,3.83,"(9-6)*12-12, (12+6)*12/9, 12*6/(12-9) "
412,4 5 10 10,7.17,91.2%,7.58,3.33,"10*10/5+4, (10/10+5)*4 "
413,3 4 11 12,7.18,95.3%,7.83,3.43,"12+11+4-3, (11-3)*12/4, (11-12/4)*3 "
414,5 5 6 6,7.18,93.2%,7.68,2.93,"(5+5-6)*6, 5*5-6/6, (6-6/5)*5 "
415,1 3 7 13,7.19,96.9%,7.56,2.66,"13+7+3+1, (13-7)*(3+1) "
416,1 2 2 13,7.2,96.7%,7.73,3.1,"(13+1-2)*2, (13*2-2)*1 "
417,1 8 8 10,7.2,92.3%,7.54,3.03,(10+1-8)*8 
418,5 5 10 13,7.2,90.1%,7.65,3.46,"5/5+13+10, (5-13/5)*10 "
419,2 9 9 13,7.21,88.8%,7.33,2.72,(13-9/9)*2 
420,4 6 6 8,7.21,97.4%,7.71,2.66,"8+6+6+4, 8*6-6*4, 8*6/(6-4), 6*6-8-4, (6+6)*8/4, (6-8/4)*6, (4-6/6)*8 "
421,6 8 8 8,7.21,88%,7.65,3.63,(8-6)*8+8 
422,8 10 11 11,7.21,95%,7.59,2.8,11+11+10-8 
423,1 8 8 11,7.22,93.6%,7.76,3.59,(11-8)*8*1 
424,2 3 3 13,7.22,94.2%,7.82,3.06,"(13-3-2)*3, (13+3)*3/2, 3*3+13+2, (13-3/3)*2 "
425,1 7 7 9,7.24,96.1%,7.61,2.88,9+7+7+1 
426,10 10 12 13,7.24,92.5%,7.52,2.61,13+12-10/10 
427,1 7 8 11,7.25,92.9%,7.61,3.14,"(7+1)*(11-8), (11-7-1)*8 "
428,1 10 12 13,7.25,94.6%,7.6,2.83,"(13-10-1)*12, (13-1)*(12-10) "
429,2 2 10 13,7.25,90%,7.45,3.16,2/2+13+10 
430,2 7 7 13,7.25,86.4%,7.37,3.12,(13-7/7)*2 
431,6 6 12 13,7.25,90.3%,7.74,3.2,13+12-6/6 
432,2 5 9 12,7.26,95.8%,7.71,2.92,"(9-5-2)*12, 12+9+5-2, 12/(5-9/2), (9-5)*12/2 "
433,2 2 7 13,7.27,96.4%,7.7,2.89,"13+7+2+2, (13-7)*(2+2), 2*2+13+7, (13-7)*2*2 "
434,2 6 10 10,7.27,95.9%,7.8,3.02,"10+10+6-2, 10*2+10-6 "
435,3 7 12 13,7.28,94.1%,7.8,3.18,"(13-7)*12/3, 12/3+13+7, (13+7-12)*3 "
436,1 3 4 5,7.29,97.6%,7.75,2.49,"5*4+3+1, (3+1)*5+4, (5+4-1)*3, (5+3)*(4-1) "
437,1 3 9 11,7.29,95%,7.8,3.13,"11+9+3+1, (11*3-9)*1, (11/3-1)*9 "
438,1 7 10 12,7.29,92.7%,7.69,3.09,"(10-7-1)*12, 10/(1-7/12) "
439,2 9 10 12,7.29,94%,7.62,2.85,"(10-2)*(12-9), (10-9)*12*2 "
440,4 8 10 12,7.29,95.8%,7.87,2.92,"(8+4)*(12-10), (8+4-10)*12, 8/4+12+10, (10-4)*(12-8), 12*4/(10-8), (10+8-12)*4 "
441,1 3 4 11,7.3,96.1%,7.81,2.93,"(11+1-4)*3, (11-3)*(4-1), 4*3+11+1 "
442,3 7 7 9,7.3,86.5%,7.38,3.07,(9-7/7)*3 
443,3 9 10 11,7.31,93.1%,7.73,2.99,"9/3+11+10, (10+9-11)*3 "
444,3 5 5 6,7.33,89%,7.58,3.39,"(5+5)*3-6, (5/5+3)*6 "
445,4 5 11 13,7.33,91%,7.86,3.45,(13+11)*(5-4) 
446,1 1 6 8,7.34,95.1%,7.72,2.54,8*6/(1+1) 
447,1 5 6 9,7.34,92.1%,7.88,3.7,(9-5)*6*1 
448,5 5 13 13,7.34,85.2%,7.54,3.32,5*5-13/13 
449,5 9 10 10,7.34,92.9%,7.8,3.17,10+10+9-5 
450,1 6 8 13,7.35,94.6%,7.82,2.92,"(13-8-1)*6, (13-1)*(8-6) "
