Rank,Puzzles,AMT (s),Solved rate,1-sigma Mean (s),1-sigma STD (s),Solution(s)
1109,2 2 2 9,14.34,75.6%,11.68,6.75,(9+2)*2+2 
1110,1 1 6 9,14.38,80.3%,12.33,6.88,(1+1)*9+6 
1111,2 3 7 8,14.42,80.1%,13.29,5.85,"(7+2)*8/3, (8-2)*(7-3), (8+7-3)*2, 8/(7/3-2) "
1112,1 3 6 10,14.48,82%,12.82,6.99,(10*3-6)*1 
1113,3 3 9 11,14.5,79.3%,13.45,5.88,"(11-3)*9/3, (11-9/3)*3 "
1114,3 5 5 11,14.5,80.1%,13.47,5.67,11+5+5+3 
1115,1 3 7 9,14.55,80.3%,13.1,5.74,(7+1)*9/3 
1116,3 3 8 10,14.57,81.5%,13.85,5.76,"10+8+3+3, 8/(10/3-3) "
1117,3 8 9 11,14.65,79.4%,13.37,7.19,"9*3+8-11, (11-8)*9-3 "
1118,2 4 7 9,14.66,80.3%,13.64,6.51,"4*2+9+7, (9+7-4)*2 "
1119,2 10 12 13,14.75,81%,13.8,6.41,"13*2+10-12, (12+10)/2+13, (12-10)*13-2 "
1120,2 3 8 9,14.82,80.9%,13.5,6.63,"(9-3*2)*8, (9-3)*8/2 "
1121,3 5 9 9,14.83,78.7%,13.53,6.38,"9*5/3+9, (9-3)*(9-5) "
1122,2 2 5 9,14.84,73.4%,12.27,6.52,(9+5-2)*2 
1123,4 5 8 10,14.86,75.4%,12.18,6.27,"(8+4)*10/5, (4-8/5)*10, (8-10/5)*4, (8/10+4)*5 "
1124,2 4 9 10,14.87,79.4%,13.6,6.28,"9*2+10-4, 9*4-10-2 "
1125,3 5 12 12,14.92,67.9%,10.14,6.12,"12*5-12*3, (12*5+12)/3 "
1126,5 7 9 11,15.02,70.5%,11.45,6.05,(7+5)*(11-9) 
1127,5 5 9 11,15.03,71.5%,12.61,5.45,(11-5)*(9-5) 
1128,6 12 12 12,15.03,75.7%,12.4,7.08,12*12/(12-6) 
1129,2 5 9 10,15.1,77.7%,13.54,6.4,10*2+9-5 
1130,1 3 5 6,15.11,86.8%,14.73,6.03,"6*3+5+1, (5+1)*3+6 "
1131,4 6 9 12,15.16,77.1%,13.1,7.18,"(12+4)*9/6, (12-4)*(9-6), (9-6)*4+12 "
1132,2 2 3 4,15.19,77%,13.19,6.03,"(4+2+2)*3, (2*2+4)*3 "
1133,5 6 6 12,15.31,80.7%,14.09,6.38,"6*5+6-12, 12*5-6*6, (12-6)*5-6 "
1134,3 3 4 13,15.35,75.9%,12.86,7.12,(13-4)*3-3 
1135,4 4 4 10,15.37,76.6%,13.2,6.54,"10*4-4*4, (4*4-10)*4 "
1136,3 4 7 12,15.38,82.4%,14.64,6.53,"7*3+12/4, 12*7/3-4, 7*4-12/3, 12*7/4+3 "
1137,3 4 10 10,15.43,75.1%,13.42,6.34,10*3+4-10 
1138,3 6 8 13,15.44,81.9%,14.88,6.52,13+8+6-3 
1139,2 6 9 12,15.45,82.8%,14.42,6.84,"(6+2)*(12-9), (6-2)*9-12, 6/2+12+9, 9*2+12-6, 12/(2-9/6) "
1140,6 7 10 10,15.51,69.8%,11.57,6.45,(10-7)*10-6 
1141,5 9 9 12,15.53,75.8%,13.77,6.95,"9*5-12-9, (9-5)*9-12, (12-9)*5+9 "
1142,2 6 12 13,15.54,78.1%,14,6.19,"13*2-12/6, 12/(13/2-6), 13*12/6-2 "
1143,2 2 5 10,15.61,78.2%,14.07,6.04,"(5+2)*2+10, (10-2)*(5-2), (2/5+2)*10, (10*5-2)/2 "
1144,3 6 8 12,15.65,80.1%,14.32,6.33,"(12-6-3)*8, (8-12/3)*6 "
1145,1 5 11 12,15.71,71%,11.95,6.31,(11-1)*12/5 
1146,3 3 9 10,15.71,77.7%,14.15,6.48,10*3+3-9 
1147,3 4 4 11,15.75,76%,13.45,6.83,4*4+11-3 
1148,3 4 4 10,15.9,76.1%,12.86,7.13,(10-3)*4-4 
1149,3 6 6 13,15.94,72.5%,12.79,6.96,"(13-6-3)*6, (13*6-6)/3 "
1150,2 4 10 11,15.95,79.5%,14.53,6.58,"11*4-10*2, (11-10/2)*4, (11-4)*2+10 "
1151,6 10 10 13,15.97,68.5%,11.67,6.47,(13-10)*10-6 
1152,2 5 9 11,16,76.6%,14.01,7.42,"(5-2)*11-9, 9*2+11-5, (9-2)*5-11 "
1153,2 2 7 7,16.01,69.7%,11.92,6.34,(7+7-2)*2 
1154,2 5 8 8,16.07,71.5%,12.28,6.88,"8*5-8*2, (8*5+8)/2 "
1155,3 6 11 13,16.12,72.2%,12.13,7.17,(13+6-11)*3 
1156,4 7 8 12,16.13,79%,14.56,7.03,"7*4+8-12, (12-8)*7-4 "
1157,4 5 8 11,16.23,72.6%,12.84,7.41,"(11-5)*(8-4), (11+4)*8/5 "
1158,5 5 5 12,16.23,66.9%,10.69,6.48,(5+5)*12/5 
1159,5 7 8 10,16.26,70.2%,12.79,6.1,(7+5)*(10-8) 
1160,2 5 5 9,16.29,78.7%,14.86,6.17,"5*2+9+5, (5-2)*5+9 "
1161,5 7 12 12,16.29,65.8%,10.85,6.38,12*7-12*5 
1162,1 4 4 6,16.32,79.7%,14.36,7.06,"(6+1)*4-4, (6-1)*4+4 "
1163,2 6 11 12,16.46,77%,14.59,6.73,"11*2+12/6, 12/(6-11/2), 12*11/6+2 "
1164,7 9 12 12,16.46,63.8%,9.94,5.91,12*9-12*7 
1165,2 3 8 10,16.61,81.7%,15.66,6.84,"3*2+10+8, 10*3+2-8 "
1166,5 6 9 13,16.69,69%,12.75,6.24,(13-5)*(9-6) 
1167,2 6 10 11,16.71,73.9%,13.8,7.08,"6/2+11+10, (11+6)*2-10 "
1168,4 4 5 13,16.73,72.2%,12.95,7.67,4*4+13-5 
1169,4 6 8 10,16.85,75.8%,13.72,8.18,"(8-6)*10+4, (10-6)*4+8 "
1170,7 7 7 12,16.87,64.1%,9.63,6.4,(7+7)*12/7 
1171,2 3 6 7,16.94,81%,15.63,6.96,"7*6/2+3, 7*3+6/2, (7*2-6)*3 "
1172,5 5 6 8,16.96,78.8%,15.29,6.73,8+6+5+5 
1173,4 5 7 13,16.98,72.2%,13.22,6.64,"(13-5)*(7-4), (13*7+5)/4 "
1174,1 3 8 10,17.01,70.7%,12.97,6.9,(10-1)*8/3 
1175,1 3 12 13,17.05,75.5%,14.49,7.32,"12*3+1-13, (13-1)*3-12 "
1176,3 3 8 13,17.05,68.7%,12.07,6.66,(13+3-8)*3 
1177,1 5 5 10,17.12,70.7%,12.68,7.57,(10-5)*5-1 
1178,3 10 11 13,17.22,71%,13.98,6.7,"(11-3)*(13-10), (11+10-13)*3 "
1179,1 4 10 12,17.53,71.8%,13.42,7.13,"12*10/(4+1), (10-1)*4-12, 4/(1-10/12) "
1180,4 9 9 12,17.53,71%,14.01,6.83,"(9+9-12)*4, (4-12/9)*9 "
1181,2 3 7 7,17.57,76.8%,15.74,6.84,7*2+7+3 
1182,3 9 9 13,17.62,67.5%,12.87,6.54,(9-3)*(13-9) 
1183,1 3 11 12,17.63,75.4%,15.05,7.59,"12*3-11-1, (11+1)*3-12 "
1184,2 2 6 7,17.71,72.4%,14.06,7.52,"(7+2)*2+6, (7+6)*2-2 "
1185,2 7 10 10,17.78,68.2%,14.08,6.21,"(10-2)*(10-7), (10+7)*2-10 "
1186,2 6 6 9,17.8,72.4%,13.91,6.91,"(6+2)*(9-6), (9+6)*2-6, (9*6-6)/2 "
1187,6 6 9 10,17.85,69.9%,14.09,7.31,"(9-6)*10-6, (10+6)*9/6 "
1188,2 3 7 10,17.9,77.1%,15.56,7.11,"10*2+7-3, (10*7+2)/3 "
1189,6 10 11 12,17.91,69.2%,13.81,6.76,12*10/(11-6) 
1190,2 4 4 9,17.98,72.9%,14.12,7.84,(9-2)*4-4 
1191,6 8 9 10,18.01,70.9%,13.78,7.71,(10-8)*9+6 
1192,6 6 6 10,18.09,65.7%,12.05,6.82,10*6-6*6 
1193,2 2 9 12,18.25,72.8%,15.6,6.77,"(2+2)*9-12, 9*2*2-12, 9*2+12/2 "
1194,4 7 8 11,18.25,67.5%,11.89,7.4,(11-7)*4+8 
1195,5 7 7 10,18.28,67.8%,14.03,7.11,(7-5)*7+10 
1196,10 12 12 12,18.42,64%,11.04,6.3,12*12-12*10 
1197,3 8 9 13,18.48,74.2%,16.11,7.5,"9/3+13+8, (13-8)*3+9 "
1198,3 5 7 12,18.52,71.4%,14.78,8.04,"(7+3)*12/5, 12*3-7-5, (7+5)*3-12 "
1199,3 5 8 9,18.59,75.6%,16.44,7.84,"9*3+5-8, (8-5)*9-3 "
1200,2 6 8 9,18.64,73%,15.73,6.87,"(6*2-9)*8, 9*8*2/6 "
1201,2 8 10 12,18.67,80.2%,17.21,7.91,"10*2+12-8, 12/2+10+8, (10+8)*2-12 "
1202,8 8 8 11,18.71,62.9%,11.08,6.5,11*8-8*8 
1203,4 5 6 9,18.93,75.5%,16.89,7.15,9+6+5+4 
1204,3 5 12 13,18.99,68.4%,14.94,6.82,"(5*3-13)*12, (13-3)*12/5 "
1205,2 6 9 10,19.09,69.7%,15.19,6.95,"(10-2)*(9-6), (9-10/2)*6 "
1206,3 9 9 11,19.22,69.6%,14.71,7.88,"(9+3)*(11-9), 11*9/3-9 "
1207,8 10 12 13,19.25,67.2%,14.93,6.74,12*10/(13-8) 
1208,3 4 8 13,19.33,69.5%,14.53,8.31,"(13-4)*8/3, 8/(13/3-4) "
1209,3 6 8 10,19.49,65.6%,12.79,7.32,(10+6-8)*3 
1210,2 7 10 12,19.57,70.8%,16.12,7.07,"12*10/(7-2), 10/2+12+7, (7-10/2)*12 "
1211,2 4 7 8,19.71,76.5%,17.46,7.61,"(7*2-8)*4, 8*7/2-4, 7*4-8/2 "
1212,2 6 7 10,19.71,69.4%,13.89,7.74,"(6+2)*(10-7), (7*2-10)*6 "
1213,2 2 9 10,19.9,65.5%,14.88,7.61,(9-2)*2+10 
1214,4 8 9 12,20.11,72.5%,17.18,7.3,"9*8*4/12, (8-4)*9-12, 9*8-12*4 "
1215,2 3 10 10,20.16,69%,15.13,7.79,(10-3)*2+10 
1216,9 9 9 12,20.17,62.9%,10.81,7.42,(9+9)*12/9 
1217,1 3 3 8,20.32,73.7%,16.4,8.03,"(8+1)*3-3, (8-1)*3+3 "
1218,2 2 4 4,20.78,71.1%,15.75,8.52,"(4*2-2)*4, (4*2+4)*2 "
1219,1 5 7 10,20.87,70.1%,16.84,7.99,"7*5-10-1, (7/5+1)*10 "
1220,2 3 11 11,20.91,67.6%,15.89,7.95,11*3+2-11 
1221,8 10 12 12,21.01,63.4%,12.14,7.79,"(12+8)*12/10, 12*10-12*8 "
1222,6 8 8 9,21.04,62.7%,12.35,7.49,"9*8-8*6, (8+8)*9/6 "
1223,1 3 8 11,21.37,73.2%,17.58,8.47,11*3-8-1 
1224,3 5 9 10,21.38,67.4%,15.59,8.34,"(9+3)*10/5, (10-5)*3+9 "
1225,2 2 4 12,21.4,75%,16.78,9.89,"(4+2)*2+12, (12+2)*2-4, (12-2)*2+4 "
1226,5 9 12 13,21.45,64.4%,16.37,7.5,"(13+5)*12/9, (13-5)*(12-9) "
1227,3 6 9 13,21.63,69.5%,17.91,8.07,"6/3+13+9, (13+3)*9/6, 13*3-9-6 "
1228,4 4 8 9,21.72,69.6%,17.46,8.57,9*4-8-4 
1229,9 11 12 12,21.98,58.7%,11.28,6.74,12*11-12*9 
1230,2 3 5 8,21.99,73.7%,18.68,8.07,"8*2+5+3, (5+3)*2+8, 8/(2-5/3) "
1231,6 8 10 11,22.08,63.5%,14.69,7.91,(11-8)*10-6 
1232,7 8 8 10,22.08,60.8%,13.16,8.52,10*8-8*7 
1233,3 3 7 8,22.09,69.2%,17.76,8.42,3*3+8+7 
1234,3 5 10 11,22.14,68.7%,16.87,8.83,"10*3+5-11, (10-3)*5-11 "
1235,1 2 8 10,22.31,66.8%,16.01,8.21,(8-1)*2+10 
1236,1 6 10 12,22.56,65.2%,15.16,8.56,12*10/(6-1) 
1237,2 3 3 5,22.58,69.3%,16.73,8.98,"(5+2)*3+3, (5*3-3)*2 "
1238,2 7 12 12,22.69,61.7%,13.15,8.03,"(7*2-12)*12, (12+2)*12/7 "
1239,2 3 9 12,22.75,65.6%,14.19,8.3,(9-3)*2+12 
1240,2 4 5 10,23.15,68.1%,17.82,8.45,5*2+10+4 
1241,2 9 10 10,23.19,61.8%,17.42,7.88,10/2+10+9 
1242,3 5 7 11,23.22,63.8%,15.52,8.55,"(11-5)*(7-3), (11*7-5)/3 "
1243,4 5 7 10,23.41,63.2%,15.56,8.55,(7-5)*10+4 
1244,5 7 10 13,23.49,61.5%,17.06,7.76,(13-5)*(10-7) 
1245,5 9 11 13,23.68,61.5%,16.94,7.78,(11-5)*(13-9) 
1246,2 3 6 8,23.82,75.5%,20.71,8.95,"(8+2)*3-6, 6*3+8-2, (8-2)*3+6 "
1247,10 10 10 12,24.12,59.2%,11.58,7.99,(10+10)*12/10 
1248,1 5 9 12,24.73,62.7%,14.95,9.19,"(5-1)*9-12, (9+1)*12/5 "
1249,3 4 5 13,24.86,66.1%,18.88,8.85,"(13+5)*4/3, 5*3+13-4 "
1250,4 10 11 12,25.09,63.1%,17.78,8.99,12/4+11+10 
1251,5 7 9 10,25.64,61.4%,16.9,9.49,(10-7)*5+9 
1252,4 9 10 12,26.14,62.1%,17.62,9.49,12*10/(9-4) 
1253,6 6 7 11,26.16,58%,14.08,8.71,11*6-7*6 
1254,2 5 10 12,26.24,64.3%,18.98,9.32,"(12+5)*2-10, (12-5)*2+10 "
1255,2 2 6 11,26.72,61.9%,19.4,9.25,(11-2)*2+6 
1256,5 6 6 9,26.76,59.2%,15.08,9.22,9*6-6*5 
1257,8 9 11 11,26.84,57.9%,17.05,9.1,(11-8)*11-9 
1258,8 8 9 12,26.85,56.5%,13.48,8.06,12*8-9*8 
1259,2 2 5 8,26.86,62.9%,17.42,9.4,(8+5)*2-2 
1260,3 4 4 4,26.94,66.6%,19.43,10.67,(4+3)*4-4 
1261,2 4 5 5,27.07,59.4%,16.25,8.88,(5+5)*2+4 
1262,5 6 7 9,27.75,59.8%,16.83,9.43,(7-5)*9+6 
1263,4 7 8 10,28.11,62.2%,19.91,9.81,8*7/4+10 
1264,3 4 7 8,28.44,59.7%,15.69,9.04,(7-3)*4+8 
1265,3 9 11 13,28.63,56.9%,14.83,8.97,(9+3)*(13-11) 
1266,3 5 10 10,28.66,53.5%,13.79,7.73,(10-10/5)*3 
1267,3 4 5 11,29.13,63.4%,21.36,10.43,"(4+3)*5-11, 11*3-5-4 "
1268,2 3 13 13,29.14,58.4%,19.03,10.21,13*3-13-2 
1269,1 4 9 13,29.16,61.2%,20.03,10.6,9*4+1-13 
1270,4 10 10 11,29.26,54.5%,19.96,9.39,11*4-10-10 
1271,1 7 12 13,29.67,55.2%,15.92,9.67,(13+1)*12/7 
1272,2 6 9 9,30.4,56.8%,15.8,9.28,"(9+9-6)*2, (6/9+2)*9 "
1273,3 3 6 6,31.22,57.2%,15.51,9.38,(6/3+6)*3 
1274,2 5 12 13,31.73,58.3%,22.37,10.04,"12/2+13+5, (13+5)*2-12 "
1275,4 4 7 13,31.75,53.6%,15.75,9.66,13*4-7*4 
1276,4 5 9 12,31.9,59.6%,23.6,10.97,"12*5/4+9, 12*5-9*4 "
1277,6 6 9 13,32.21,53.5%,14.41,9.26,13*6-9*6 
1278,2 3 7 9,32.32,58.2%,19.34,10.85,"(9+7)*3/2, (7-2)*3+9, (7*3-9)*2 "
1279,2 2 7 10,33.07,53.1%,17.64,9.69,(10/2+7)*2 
1280,3 6 7 10,34.07,57.5%,22.85,10.96,7*6/3+10 
1281,1 4 6 10,34.44,55.6%,20.49,10.37,(4-1)*10-6 
1282,1 2 7 7,34.95,54.5%,18.41,10.93,(7*7-1)/2 
1283,2 5 8 12,35.65,54.4%,19.02,10.69,"(5*2-8)*12, (8+2)*12/5 "
1284,2 5 7 9,35.67,53.4%,24.21,10.63,7*5-9-2 
1285,6 7 11 11,35.8,47.5%,20.81,10.55,(11-6)*7-11 
1286,3 8 10 12,36.47,53.6%,21.38,11.19,12*10/(8-3) 
1287,2 2 3 10,36.56,54.3%,18.98,10.93,(10+3)*2-2 
1288,2 4 7 7,36.66,51%,18.01,9.94,(7+7)*2-4 
1289,4 7 9 11,37.6,52.1%,23.65,11.51,"(7-4)*11-9, (9-4)*7-11 "
1290,7 9 11 12,39.02,49.8%,19.2,11.3,"(11+7)*12/9, (11-7)*9-12 "
1291,2 2 6 9,39.56,50.8%,19.42,11.07,"(6/2+9)*2, (9*2-6)*2 "
1292,5 5 8 11,40.08,47.1%,25.53,11.68,8*5-11-5 
1293,2 2 3 5,41.26,50.8%,16.31,9.58,(5*2-2)*3 
1294,3 6 6 10,41.74,49.9%,19.98,11.6,(6-3)*10-6 
1295,1 5 11 11,44.24,43.3%,17.55,10.71,(11*11-1)/5 
1296,7 8 9 12,44.49,47.9%,17.13,10.6,"(12+9)*8/7, (9+7)*12/8 "
1297,5 10 10 11,47.01,41%,15.95,7.96,(11*10+10)/5 
1298,4 9 11 11,47.43,44.5%,26.56,14.54,11*4-11-9 
1299,1 5 5 5,47.97,43.5%,13,8.1,(5-1/5)*5 
1300,1 2 9 11,48.61,44.6%,24.31,13.44,(2+1)*11-9 
1301,5 9 10 11,49.04,43.3%,29.58,14.3,9*5-11-10 
1302,6 7 7 11,49.7,43.1%,29.01,15.31,7*6-11-7 
1303,1 7 13 13,49.75,40.8%,15.49,9.69,(13*13-1)/7 
1304,5 10 10 13,53.3,38.7%,18.13,8.57,(13*10-10)/5 
1305,8 9 10 12,53.31,42.9%,23.63,14.71,"(10+8)*12/9, 12*10/8+9 "
1306,3 5 8 13,54.08,42.6%,31.72,15.12,8*5-13-3 
1307,2 5 6 9,54.71,44.5%,28.77,14.38,6*5/2+9 
1308,3 3 7 7,55.32,40.1%,13.99,8.62,(3/7+3)*7 
1309,1 6 11 13,57.73,37.7%,20.45,11.41,(13*11+1)/6 
1310,4 6 6 10,58.41,39.9%,23.9,13.23,(10+6)*6/4 
1311,1 3 9 10,59.31,40.9%,24.84,13.64,(10+1)*3-9 
1312,4 4 7 7,59.8,38.6%,16.33,9.52,(4-4/7)*7 
1313,4 5 6 12,61.02,43.7%,22.28,16.21,(6+4)*12/5 
1314,5 7 9 12,61.29,39.7%,19.05,12.2,(9+5)*12/7 
1315,4 6 7 9,61.62,41.6%,21.16,13.12,(9+7)*6/4 
1316,4 7 11 13,63.33,37.4%,32.57,17.04,11*4-13-7 
1317,4 5 6 11,63.68,38.1%,20.86,11.92,(11+5)*6/4 
1318,5 7 10 11,64.98,36.2%,24.8,14.03,(10-5)*7-11 
1319,5 8 9 13,65.12,36.6%,35.37,17.03,9*5-13-8 
1320,2 2 11 11,65.54,39.1%,14.58,9.78,(2/11+2)*11 
1321,3 4 6 13,65.55,39.9%,21.46,12.53,"(13+3)*6/4, 6/(13/4-3) "
1322,4 4 10 10,66.37,39.2%,14.58,9.91,(10*10-4)/4 
1323,3 5 8 12,66.47,38.2%,28.89,14.32,"(5*3-12)*8, (12+3)*8/5 "
1324,2 4 11 12,67.74,39.6%,25.73,14.92,(11-2)*4-12 
1325,7 10 12 13,68.3,37.5%,23.25,13.55,(13+7)*12/10 
1326,6 7 8 12,68.33,40%,18.75,13.44,(8+6)*12/7 
1327,6 12 12 13,69.33,36.7%,16.27,9.34,(13*12-12)/6 
1328,2 2 13 13,71.21,36.5%,16,9.85,(2-2/13)*13 
1329,5 6 8 13,71.22,36%,24.24,12.91,(13+5)*8/6 
1330,1 4 7 11,74.72,36%,31.98,17.54,(4+1)*7-11 
1331,6 11 12 12,74.73,35%,16.95,10.13,(12*11+12)/6 
1332,2 7 8 9,75.69,38.8%,19.91,12.36,(9+7)*2-8 
1333,5 6 9 11,77.03,33.4%,27.84,15.74,"(11+9)*6/5, (11+5)*9/6 "
1334,2 2 6 13,77.71,33.1%,32.25,17.61,(13+2)*2-6 
1335,6 9 9 10,79.32,32.5%,35.45,19.77,10*9/6+9 
1336,4 8 8 13,88.2,29.8%,25.89,15.4,(13*8-8)/4 
1337,7 8 8 13,89.07,29.4%,28.24,16.22,(13+8)*8/7 
1338,2 5 7 8,90.46,33%,28.82,16.54,(5*2-7)*8 
1339,5 7 7 11,92.48,27.5%,26.83,13.56,(5-11/7)*7 
1340,3 3 7 13,93.68,27.4%,33.84,19.66,(7*3-13)*3 
1341,2 7 7 10,94.8,27.4%,28.63,14.29,(10/7+2)*7 
1342,3 8 8 10,96.93,28.9%,28.22,18.17,(10*8-8)/3 
1343,5 5 7 11,97.28,26.5%,28.12,15.24,(7-11/5)*5 
1344,2 2 10 11,97.8,30.7%,27.27,17.87,(11*2-10)*2 
1345,2 3 8 13,101.06,31.1%,25.16,14.25,(13+3)*2-8 
1346,9 11 12 13,101.46,29.1%,23.32,14.16,(13+9)*12/11 
1347,4 8 8 11,101.99,29.5%,25.13,15.54,(11*8+8)/4 
1348,1 8 12 12,105.21,28.9%,22.94,14.48,12/(12/8-1) 
1349,7 8 10 11,106.93,29.5%,26.44,16.05,(11+10)*8/7 
1350,2 9 13 13,110.69,25.3%,32.32,20.1,(13+9)/2+13 
1351,3 3 5 7,111.86,29.1%,31.16,20.08,(5*3-7)*3 
1352,3 7 9 13,113.44,26.1%,40.76,22.03,"9*7-13*3, (7-13/3)*9 "
1353,3 6 6 11,116.34,26.9%,27.28,17.26,(11*6+6)/3 
1354,2 4 10 10,119.64,25.5%,30.74,19.99,(4/10+2)*10 
1355,2 4 7 12,121.24,27.1%,31.98,19.3,"(7+2)*4-12, 12/(4-7/2) "
1356,1 6 6 8,124.94,27.9%,24.22,15.4,6/(1-6/8) 
1357,3 5 7 13,125.59,23.7%,41.21,22.66,(13*5+7)/3 
1358,3 3 8 8,131.38,29.9%,16.63,11.58,8/(3-8/3) 
1359,1 4 5 6,182.06,28.6%,20.37,13.91,"6/(5/4-1), 4/(1-5/6) "
1360,2 5 5 10,199.6,21.4%,24.86,17.63,(5-2/10)*5 
1361,1 3 4 6,203.84,26.8%,21.76,14.2,6/(1-3/4) 
1362,2 3 5 12,212.42,20.1%,31.15,23.49,12/(3-5/2) 
