Rank,Puzzles,AMT (s),Solved rate,1-sigma Mean (s),1-sigma STD (s)
1,1 1 4 6,4.35,99.3%,4.62,1.44
2,1 1 11 11,4.38,99.6%,4.66,1.41
3,1 1 3 8,4.42,99.3%,4.69,1.47
4,1 1 1 8,4.45,98.8%,4.66,1.25
5,6 6 6 6,4.56,99.5%,4.8,1.47
6,1 1 2 12,4.61,99.2%,4.93,1.52
7,1 2 2 6,4.77,99.3%,5.12,1.57
8,1 1 10 12,4.79,99%,5.03,1.53
9,1 1 1 12,4.8,99.3%,5.13,1.59
10,2 2 10 10,4.81,98.2%,5.12,1.6
11,1 1 2 8,4.94,97.8%,5.29,1.73
12,1 1 12 12,4.99,99.3%,5.37,1.63
13,2 2 2 12,4.99,99.2%,5.34,1.69
14,1 1 3 12,5.01,97.6%,5.36,1.83
15,1 1 5 8,5.03,96.6%,5.39,1.83
16,1 1 2 6,5.04,98.7%,5.39,1.6
17,1 1 4 8,5.04,98.2%,5.4,1.83
18,4 6 11 11,5.04,99%,5.43,1.75
19,1 1 4 12,5.07,97.5%,5.49,1.83
20,1 1 2 11,5.08,99%,5.42,1.69
21,3 3 3 8,5.1,98.3%,5.49,1.84
22,1 2 3 4,5.12,99.2%,5.48,1.81
23,1 1 13 13,5.14,99.4%,5.47,1.65
24,11 11 12 12,5.14,98.8%,5.54,1.86
25,1 1 2 13,5.18,98.8%,5.52,1.79
26,4 6 7 7,5.18,98.7%,5.52,1.8
27,1 1 3 6,5.19,98%,5.54,1.78
28,1 1 3 9,5.19,97.1%,5.54,1.85
29,1 2 4 12,5.19,97.7%,5.61,1.98
30,3 7 7 8,5.19,96.8%,5.55,1.91
31,7 7 12 12,5.19,98.7%,5.59,1.84
32,1 1 5 6,5.2,97.1%,5.66,2.05
33,1 1 11 13,5.22,99.1%,5.64,1.8
34,1 6 6 12,5.24,98.9%,5.56,1.68
35,4 6 13 13,5.24,98.8%,5.65,1.8
36,1 1 11 12,5.26,99.4%,5.64,1.74
37,4 5 12 12,5.26,97.1%,5.63,1.8
38,4 4 4 6,5.27,98.2%,5.66,1.96
39,1 1 1 11,5.28,97.6%,5.59,1.65
40,1 8 8 8,5.29,97.9%,5.63,1.91
41,12 12 12 12,5.29,99.4%,5.72,2.03
42,2 7 7 12,5.3,98.9%,5.7,1.9
43,2 2 3 8,5.33,98.3%,5.71,1.91
44,11 11 11 12,5.33,95%,5.64,2
45,2 11 11 12,5.34,97.3%,5.74,2
46,2 9 9 12,5.36,97.6%,5.8,2.02
47,10 10 12 12,5.36,98.7%,5.81,1.92
48,1 1 5 5,5.37,99.2%,5.75,1.83
49,1 5 7 12,5.37,98.4%,5.91,2.09
50,8 8 12 12,5.38,98.6%,5.81,1.93
51,3 8 13 13,5.4,95.1%,5.81,2.12
52,3 8 10 10,5.41,95.7%,5.85,2.19
53,9 9 12 12,5.41,98.4%,5.9,2.11
54,1 6 8 12,5.42,97.1%,5.84,2.05
55,3 3 12 12,5.42,98.8%,5.9,2.04
56,3 8 11 11,5.42,96.4%,5.77,2.05
57,11 12 12 12,5.42,98%,5.77,1.87
58,5 6 12 12,5.43,97.3%,5.79,1.79
59,12 12 13 13,5.43,98.8%,5.85,1.94
60,3 8 9 9,5.44,97%,5.8,1.95
61,5 5 12 12,5.44,98.9%,5.82,1.74
62,2 5 5 12,5.46,98.8%,5.84,1.93
63,1 1 12 13,5.47,98.8%,5.86,1.84
64,2 3 3 12,5.47,98.6%,5.95,2.06
65,1 1 4 5,5.48,97.9%,5.84,2.01
66,1 9 9 12,5.48,95.8%,5.78,1.8
67,3 4 4 8,5.49,98.4%,5.95,2
68,1 1 3 7,5.5,97.2%,5.83,1.93
69,1 4 10 10,5.5,97.9%,5.91,2.06
70,2 12 13 13,5.5,97.3%,5.85,2.03
71,7 7 11 12,5.5,93.9%,5.85,2.14
72,2 2 4 6,5.51,99.1%,5.9,1.88
73,4 4 12 12,5.51,98.7%,5.95,2.02
74,1 3 5 12,5.52,96.7%,5.91,2.15
75,5 5 11 12,5.53,96.5%,5.89,1.9
76,1 2 5 8,5.54,96%,5.97,2.23
77,1 1 1 13,5.57,97.5%,5.9,1.77
78,11 11 11 13,5.57,98.4%,6.1,2.22
79,3 5 5 8,5.58,97.1%,5.96,2.06
80,1 4 7 12,5.59,98.4%,6.03,2.05
81,1 6 7 12,5.59,98.7%,6.04,2.02
82,2 3 12 12,5.59,97.4%,5.97,1.95
83,1 3 4 12,5.6,98.6%,6.01,1.95
84,1 3 10 10,5.6,97.6%,5.92,2.02
85,1 3 3 4,5.61,97.6%,5.87,1.78
86,1 8 9 12,5.61,96.5%,5.95,2
87,2 3 3 8,5.61,97.1%,5.99,1.96
88,9 9 11 12,5.61,94.3%,5.98,2.14
89,4 5 5 6,5.62,97.6%,6.05,2.1
90,4 6 6 6,5.62,98.5%,6,2.02
91,1 1 4 7,5.63,97.3%,5.95,2.07
92,1 8 8 12,5.64,96.5%,5.97,1.93
93,8 8 11 13,5.64,97.2%,6.16,2.29
94,3 7 8 8,5.65,96.4%,6.05,2.06
95,6 7 12 12,5.65,95.8%,6,2.04
96,2 7 7 8,5.66,97%,6.03,2.05
97,5 5 7 7,5.66,97.9%,6.02,1.94
98,2 2 2 3,5.68,99%,5.95,1.7
99,3 3 4 6,5.68,97.8%,6.11,2.08
100,3 3 11 12,5.69,94.8%,6.14,2.25
101,4 5 11 12,5.69,97.5%,6.11,2.11
102,1 1 2 10,5.7,95.8%,6,1.83
103,1 7 9 12,5.7,96.3%,6.11,2.22
104,1 6 9 12,5.71,95.6%,6.07,2.09
105,1 1 10 13,5.74,98%,6.15,2.18
106,1 2 5 12,5.74,95.4%,6.16,2.21
107,4 4 11 13,5.74,98%,6.32,2.37
108,1 2 2 12,5.75,97.9%,6.13,2
109,3 6 11 11,5.75,94.6%,6.07,2.12
110,6 6 12 12,5.75,98.4%,6.29,2.32
111,7 8 12 12,5.75,96.1%,6.17,2.16
112,3 7 7 7,5.77,97.7%,6.12,2.05
113,1 2 2 10,5.78,96.5%,6.16,2.2
114,1 6 6 11,5.78,98.3%,6.25,2.24
115,1 7 7 10,5.78,98%,6.19,2.11
116,2 2 3 12,5.78,98.2%,6.21,2.05
117,4 8 11 11,5.78,95.3%,6.11,2.02
118,2 2 12 12,5.79,98.6%,6.27,2.23
119,1 5 6 12,5.8,98.6%,6.19,2.07
120,6 6 11 13,5.8,98%,6.31,2.2
121,2 8 9 9,5.81,96.6%,6.24,2.13
122,3 4 4 6,5.82,97.6%,6.17,1.96
123,3 8 8 8,5.82,97.6%,6.15,2.13
124,4 6 9 9,5.82,96.5%,6.23,2.27
125,12 12 12 13,5.82,97.6%,6.14,1.99
126,8 9 12 12,5.85,96.4%,6.32,2.25
127,9 9 11 13,5.85,97%,6.39,2.38
128,11 13 13 13,5.86,98%,6.43,2.4
129,7 7 11 13,5.88,97.7%,6.43,2.36
130,5 6 11 12,5.89,97.3%,6.4,2.26
131,1 5 8 8,5.9,95%,6.49,2.71
132,3 8 12 13,5.9,96.2%,6.26,2.2
133,4 6 6 7,5.9,96.5%,6.28,2.13
134,2 10 10 12,5.91,97.2%,6.32,2.32
135,4 4 11 12,5.91,92%,6.22,2.48
136,4 5 12 13,5.91,97.8%,6.43,2.14
137,1 4 8 12,5.92,97.7%,6.33,2.23
138,2 4 4 12,5.92,98.5%,6.29,2.15
139,1 4 4 12,5.93,95.8%,6.39,2.35
140,1 3 6 12,5.94,96.9%,6.35,2.22
141,1 4 6 12,5.95,96.7%,6.45,2.56
142,1 4 5 12,5.96,95.8%,6.41,2.36
143,1 8 10 12,5.96,95.9%,6.27,2.19
144,4 6 8 8,5.96,97%,6.41,2.28
145,1 12 13 13,5.97,94.6%,6.32,2.21
146,2 4 11 11,5.97,96.4%,6.38,2.35
147,3 6 6 8,5.97,97.1%,6.39,2.26
148,3 6 13 13,5.97,94.5%,6.2,2
149,3 4 11 13,5.98,96.6%,6.45,2.36
150,3 8 10 11,5.98,94.5%,6.36,2.39
151,9 10 12 12,5.98,95.9%,6.31,2.08
152,1 11 11 12,5.99,93.8%,6.24,2.22
153,3 6 7 7,5.99,93.7%,6.4,2.47
154,4 6 10 11,5.99,94.6%,6.37,2.41
155,1 1 3 13,6,95.2%,6.37,2.11
156,4 8 10 10,6.01,97.2%,6.44,2.18
157,6 6 10 13,6.01,93.9%,6.57,2.76
158,10 10 11 13,6.01,97.5%,6.54,2.34
159,1 2 6 6,6.02,97.6%,6.48,2.25
160,1 2 4 4,6.03,97.3%,6.37,2.11
161,1 5 7 11,6.03,98.6%,6.49,2.15
162,3 7 10 10,6.03,97.3%,6.42,2.21
163,1 2 11 11,6.04,97.4%,6.52,2.42
164,1 3 3 12,6.04,95.6%,6.45,2.39
165,1 5 8 12,6.04,98.2%,6.5,2.2
166,1 6 7 10,6.04,98.6%,6.58,2.25
167,4 6 10 10,6.04,96.8%,6.42,2.41
168,1 10 10 12,6.05,92.7%,6.31,2.16
169,2 8 8 12,6.05,97.5%,6.56,2.46
170,10 11 12 12,6.05,96.2%,6.36,2.1
171,1 7 8 10,6.06,97.7%,6.49,2.31
172,2 8 10 10,6.06,95.6%,6.39,2.12
173,3 4 12 12,6.06,94.8%,6.54,2.46
174,4 8 13 13,6.06,94.6%,6.35,1.98
175,5 5 5 5,6.06,95.3%,6.53,2.28
176,1 2 10 12,6.07,97.5%,6.59,2.39
177,1 3 6 8,6.07,95.8%,6.54,2.59
178,1 7 8 9,6.07,97.3%,6.52,2.32
179,1 2 6 12,6.09,97.1%,6.48,2.29
180,2 2 11 13,6.09,98.1%,6.65,2.45
181,5 6 12 13,6.1,97.6%,6.52,2.16
182,1 1 4 4,6.11,94.6%,6.4,2.43
183,3 8 12 12,6.11,96.8%,6.59,2.51
184,4 5 5 5,6.11,97.7%,6.66,2.44
185,4 7 7 8,6.11,94%,6.6,2.54
186,1 6 12 12,6.12,94.4%,6.51,2.45
187,3 3 4 8,6.13,96.5%,6.49,2.17
188,1 3 9 12,6.16,96.5%,6.59,2.41
189,1 1 3 4,6.17,98.2%,6.5,2.04
190,1 6 8 9,6.17,98.3%,6.63,2.38
191,3 9 9 9,6.17,97.6%,6.61,2.21
192,1 2 3 10,6.18,98.4%,6.52,2.01
193,1 2 6 8,6.18,96.2%,6.52,2.35
194,2 11 12 12,6.18,95.8%,6.61,2.32
195,3 3 3 12,6.18,97.1%,6.71,2.49
196,1 1 6 6,6.19,97.5%,6.61,2.24
197,1 7 7 12,6.19,89.1%,6.32,2.36
198,2 2 11 12,6.19,92.7%,6.58,2.56
199,5 5 12 13,6.19,95.6%,6.67,2.17
200,1 2 4 8,6.2,96.7%,6.62,2.38
201,8 8 11 12,6.2,91%,6.61,2.74
202,1 1 9 13,6.22,97.3%,6.67,2.53
203,1 5 7 13,6.22,98%,6.63,2.14
204,1 7 8 8,6.22,96.7%,6.72,2.65
205,3 3 11 13,6.22,97.1%,6.76,2.56
206,3 8 11 12,6.22,94.3%,6.73,2.75
207,1 5 5 12,6.23,90%,6.45,2.41
208,2 8 13 13,6.23,90.3%,6.57,2.67
209,10 13 13 13,6.24,93.6%,6.73,2.89
210,1 2 13 13,6.25,97.3%,6.96,2.69
211,2 2 4 5,6.25,98.4%,6.61,2.08
212,5 5 11 13,6.25,96.4%,6.91,2.65
213,2 11 11 11,6.26,89.6%,6.36,2.55
214,3 3 3 6,6.26,97.8%,6.81,2.61
215,5 5 5 6,6.26,96.5%,6.7,2.32
216,1 2 3 8,6.28,97.1%,6.71,2.45
217,2 13 13 13,6.28,90.8%,6.46,2.41
218,10 10 11 12,6.28,93.6%,6.67,2.39
219,11 12 13 13,6.28,95.4%,6.74,2.47
220,1 4 7 8,6.29,96.5%,6.83,2.76
221,1 8 10 13,6.29,95%,6.64,2.4
222,2 2 2 8,6.3,96.4%,6.85,2.69
223,3 11 11 12,6.3,91.6%,6.55,2.24
224,4 4 5 6,6.3,96%,6.64,2.27
225,1 5 10 10,6.31,97.4%,6.69,2.28
226,9 9 12 13,6.31,94.1%,6.67,2.24
227,1 1 5 7,6.32,96.7%,6.67,2.15
228,1 3 11 11,6.32,97.3%,6.71,2.41
229,1 4 6 8,6.32,95%,6.72,2.59
230,2 3 11 12,6.32,94.9%,6.89,2.85
231,7 7 12 13,6.32,93.9%,6.76,2.42
232,1 4 8 8,6.35,96.8%,6.84,2.52
233,1 10 12 12,6.36,96%,6.96,2.92
234,3 6 7 8,6.37,97.9%,6.8,2.29
235,2 7 8 12,6.38,95.3%,6.84,2.59
236,6 7 11 12,6.38,96.9%,6.91,2.6
237,1 2 10 11,6.39,97.6%,6.73,2.38
238,1 2 3 12,6.4,96.4%,6.93,2.59
239,1 2 12 12,6.4,96.3%,6.73,2.19
240,4 8 9 9,6.4,90.7%,6.62,2.4
241,1 2 2 8,6.41,93.5%,6.83,2.71
242,1 5 8 9,6.41,94.3%,6.92,2.72
243,4 4 10 13,6.43,93.6%,6.9,2.85
244,7 9 11 11,6.43,95.8%,6.91,2.69
245,10 10 10 13,6.43,93.4%,6.9,3.01
246,1 4 4 5,6.44,96.7%,7.01,2.74
247,2 12 12 12,6.45,98.4%,6.79,2.43
248,2 12 12 13,6.46,95.7%,6.87,2.43
249,6 6 11 12,6.46,89.4%,6.81,3.01
250,1 1 3 11,6.47,94.8%,6.75,2.03
251,2 5 6 12,6.47,95.5%,6.84,2.52
252,4 6 12 13,6.47,93.8%,6.92,2.92
253,1 3 8 9,6.48,92%,7.09,3.4
254,1 2 8 8,6.49,96.2%,7.07,2.77
255,3 12 13 13,6.49,91.3%,6.69,2.35
256,12 13 13 13,6.49,94.9%,6.86,2.42
257,1 6 9 9,6.5,97.6%,6.97,2.5
258,3 6 10 11,6.5,96.1%,7.19,2.94
259,1 2 4 6,6.51,96%,6.91,2.55
260,2 6 6 12,6.51,97.8%,7.08,2.63
261,4 7 12 12,6.51,88.7%,6.84,3.06
262,10 11 11 13,6.51,95.1%,6.96,2.67
263,1 4 12 12,6.52,91.4%,6.79,2.6
264,1 5 7 8,6.52,94.9%,6.93,2.53
265,1 6 6 13,6.53,97.5%,6.93,2.48
266,2 8 11 11,6.53,88.8%,6.73,2.9
267,4 5 6 6,6.53,95.5%,6.89,2.4
268,1 3 6 6,6.54,97.4%,7.06,2.65
269,1 8 8 9,6.54,96.5%,7.05,2.72
270,1 9 12 12,6.56,92.9%,6.96,2.79
271,3 9 9 12,6.56,95.1%,7,2.62
272,1 4 6 13,6.59,97.7%,7.02,2.35
273,2 4 5 12,6.59,94.8%,7.05,2.87
274,3 7 9 9,6.59,90.8%,7.03,2.9
275,1 3 3 5,6.6,95.3%,6.92,2.52
276,3 4 5 8,6.6,96.4%,7.09,2.68
277,6 10 10 10,6.6,95.9%,6.85,2.3
278,4 6 7 8,6.61,95.7%,7.09,2.56
279,3 5 11 11,6.62,94.9%,7.15,2.96
280,4 5 9 9,6.62,88.4%,6.84,2.85
281,1 7 8 12,6.63,95.6%,7.08,2.69
282,2 2 2 11,6.63,92.4%,7.01,2.87
283,2 8 8 13,6.63,92.9%,7.08,2.66
284,3 10 10 12,6.63,94.8%,7,2.37
285,1 6 7 11,6.64,97.4%,7.21,2.88
286,3 7 7 12,6.64,90.2%,6.83,2.61
287,4 6 12 12,6.64,97.1%,7.13,2.49
288,2 3 4 6,6.65,97.9%,7.07,2.32
289,2 3 11 13,6.65,92%,7.15,2.97
290,2 8 10 11,6.65,95.1%,7.18,2.77
291,2 10 11 12,6.65,96%,6.99,2.44
292,4 5 13 13,6.65,87.4%,6.87,2.96
293,8 8 8 10,6.65,90.5%,6.96,3
294,2 8 9 12,6.67,95.3%,7.08,2.75
295,2 11 13 13,6.68,94.3%,7.09,2.64
296,4 6 11 12,6.68,93%,7.09,2.99
297,1 2 3 6,6.69,97.2%,7.16,2.43
298,1 3 3 7,6.69,96.1%,7.49,3.39
299,1 3 5 8,6.69,95.3%,7.43,3.09
300,1 4 4 7,6.69,96.2%,7.38,3.19
301,3 6 6 7,6.7,93.9%,7.19,2.74
302,1 5 10 12,6.71,92.1%,7.15,3.1
303,1 1 2 7,6.72,95.6%,6.95,2.08
304,1 3 3 9,6.72,96.9%,7.34,2.87
305,4 4 4 4,6.72,97.9%,7.26,2.97
306,1 2 10 13,6.73,97.1%,7.26,2.78
307,1 6 8 10,6.73,97.3%,7.15,2.46
308,2 2 8 12,6.73,98.1%,7.16,2.33
309,3 7 13 13,6.73,87.5%,6.84,2.84
310,3 8 9 10,6.73,96.2%,7.11,2.56
311,7 8 11 12,6.73,96.3%,7.2,2.69
312,1 2 5 5,6.74,95.1%,7.29,2.97
313,2 2 5 5,6.74,93.5%,7.11,2.49
314,5 6 6 7,6.74,97.8%,7.2,2.41
315,1 3 13 13,6.75,97.3%,7.26,2.63
316,1 5 8 10,6.75,96.6%,7.24,2.57
317,1 4 7 13,6.76,96.7%,7.33,2.91
318,1 10 11 12,6.76,95.1%,7.15,2.55
319,4 4 12 13,6.76,92%,7.11,2.58
320,6 8 10 12,6.77,97.4%,7.37,2.81
321,9 9 10 13,6.77,91.1%,6.98,2.75
322,1 7 7 11,6.79,97.1%,7.32,2.65
323,3 7 11 11,6.79,87.8%,7.01,3.19
324,1 2 5 6,6.8,94.4%,7.32,2.85
325,1 12 12 12,6.8,93.9%,7.03,2.62
326,2 2 2 4,6.8,96.1%,7.16,2.49
327,4 4 5 5,6.8,93.4%,7.31,2.69
328,5 7 10 12,6.8,96.8%,7.27,2.52
329,1 3 3 3,6.81,95.7%,7.2,2.56
330,3 3 5 6,6.81,96.5%,7.42,2.69
331,6 7 12 13,6.81,95.4%,7.31,2.77
332,1 1 2 9,6.82,95.1%,7.14,2.32
333,2 5 6 11,6.82,96.3%,7.3,2.65
334,3 3 12 13,6.82,93.4%,7.27,2.68
335,1 4 8 13,6.83,97.5%,7.22,2.49
336,2 11 11 13,6.85,95.1%,7.39,2.85
337,3 4 10 13,6.85,96.6%,7.3,2.82
338,1 6 8 11,6.86,97.8%,7.31,2.44
339,1 2 5 7,6.87,95.2%,7.2,2.64
340,1 9 11 12,6.87,94%,7.37,3.14
341,4 7 7 7,6.87,88.7%,7.1,3.06
342,4 8 8 8,6.87,94.6%,7.3,2.81
343,5 7 11 11,6.87,96.3%,7.3,2.64
344,8 9 11 12,6.87,95.2%,7.55,3.12
345,2 2 2 13,6.91,93.8%,7.3,2.83
346,5 6 7 7,6.91,87.3%,7,2.84
347,7 7 10 13,6.91,90%,7.23,3.19
348,1 1 3 5,6.92,95.5%,7.27,2.34
349,2 3 12 13,6.92,96%,7.45,2.71
350,2 4 4 8,6.92,96.6%,7.33,2.68
351,7 8 12 13,6.92,96.8%,7.44,2.63
352,1 1 4 9,6.94,93.7%,7.17,2.37
353,1 5 6 6,6.94,93.9%,7.65,3.51
354,3 4 5 7,6.94,96.5%,7.44,2.72
355,4 4 4 8,6.94,96.5%,7.55,2.95
356,7 9 13 13,6.94,96.6%,7.48,2.73
357,8 9 12 13,6.94,96.2%,7.49,2.73
358,11 12 12 13,6.94,97.2%,7.54,2.73
359,2 6 6 8,6.96,95.7%,7.56,3.05
360,1 2 11 13,6.97,93.7%,7.6,3.2
361,3 3 3 3,6.97,96.1%,7.66,3.43
362,3 8 8 9,6.98,95.7%,7.36,2.57
363,3 3 3 10,7,94.6%,7.53,3.14
364,9 11 11 11,7,95.5%,7.37,2.76
365,1 6 6 10,7.01,93.6%,7.34,3.12
366,2 4 13 13,7.01,95.9%,7.55,2.79
367,4 7 10 11,7.01,97.2%,7.61,2.84
368,11 11 12 13,7.01,95.5%,7.5,2.55
369,1 3 4 4,7.02,93.6%,7.36,3.11
370,1 9 10 12,7.02,94%,7.43,2.88
371,4 5 11 11,7.02,87.4%,7.49,3.83
372,8 9 10 13,7.02,96%,7.52,2.72
373,1 2 2 11,7.03,97.3%,7.61,2.94
374,3 3 4 4,7.03,94.6%,7.41,2.65
375,9 10 11 12,7.03,96.1%,7.57,2.84
376,4 7 8 8,7.04,94.4%,7.47,2.65
377,1 3 6 7,7.05,96.3%,7.42,2.79
378,2 4 5 8,7.05,95.3%,7.48,2.84
379,2 6 10 12,7.05,95.4%,7.53,2.81
380,8 8 12 13,7.05,92.4%,7.4,2.74
381,2 2 12 13,7.06,92.7%,7.37,2.68
382,2 5 5 13,7.06,92.3%,7.5,2.86
383,4 5 7 7,7.06,91.1%,7.63,3.68
384,4 6 9 10,7.06,94.2%,7.59,3.26
385,6 8 11 11,7.06,94.3%,7.63,3.17
386,2 8 12 12,7.07,95.4%,7.41,2.62
387,4 4 4 12,7.07,96.5%,7.56,2.93
388,1 1 6 12,7.08,91.1%,7.63,3.5
389,2 6 7 12,7.08,92.4%,7.34,3
390,5 6 9 9,7.08,90.6%,7.4,2.87
391,1 2 6 7,7.09,95.6%,7.47,2.59
392,1 2 11 12,7.09,96.9%,7.77,3.19
393,1 3 5 13,7.09,94.6%,7.51,2.73
394,1 11 12 12,7.09,94.5%,7.67,3.19
395,3 6 9 9,7.09,94%,7.68,3.31
396,4 7 13 13,7.09,87.5%,7.35,3.18
397,8 8 10 13,7.1,90.8%,7.53,3.16
398,2 5 5 8,7.11,88.6%,7.31,3.25
399,3 6 6 12,7.11,95.6%,7.78,2.98
400,5 5 10 10,7.11,86.7%,7.43,3.28
401,5 6 13 13,7.11,87.1%,7.18,2.88
402,1 3 10 12,7.12,96.6%,7.6,2.75
403,1 6 8 8,7.12,93.3%,7.46,3.02
404,2 3 5 5,7.12,96.1%,7.62,2.91
405,2 9 9 11,7.12,87.7%,7.18,2.85
406,6 7 10 13,7.12,96.7%,7.64,2.79
407,1 2 3 5,7.13,95.6%,7.47,2.45
408,2 6 7 13,7.13,96.7%,7.55,2.72
409,3 3 3 7,7.14,91.9%,7.53,3.25
410,1 3 10 11,7.15,96.2%,7.77,3.17
411,6 9 12 12,7.15,89.1%,7.69,3.83
412,4 5 10 10,7.17,91.2%,7.58,3.33
413,3 4 11 12,7.18,95.3%,7.83,3.43
414,5 5 6 6,7.18,93.2%,7.68,2.93
415,1 3 7 13,7.19,96.9%,7.56,2.66
416,1 2 2 13,7.2,96.7%,7.73,3.1
417,1 8 8 10,7.2,92.3%,7.54,3.03
418,5 5 10 13,7.2,90.1%,7.65,3.46
419,2 9 9 13,7.21,88.8%,7.33,2.72
420,4 6 6 8,7.21,97.4%,7.71,2.66
421,6 8 8 8,7.21,88%,7.65,3.63
422,8 10 11 11,7.21,95%,7.59,2.8
423,1 8 8 11,7.22,93.6%,7.76,3.59
424,2 3 3 13,7.22,94.2%,7.82,3.06
425,1 7 7 9,7.24,96.1%,7.61,2.88
426,10 10 12 13,7.24,92.5%,7.52,2.61
427,1 7 8 11,7.25,92.9%,7.61,3.14
428,1 10 12 13,7.25,94.6%,7.6,2.83
429,2 2 10 13,7.25,90%,7.45,3.16
430,2 7 7 13,7.25,86.4%,7.37,3.12
431,6 6 12 13,7.25,90.3%,7.74,3.2
432,2 5 9 12,7.26,95.8%,7.71,2.92
433,2 2 7 13,7.27,96.4%,7.7,2.89
434,2 6 10 10,7.27,95.9%,7.8,3.02
435,3 7 12 13,7.28,94.1%,7.8,3.18
436,1 3 4 5,7.29,97.6%,7.75,2.49
437,1 3 9 11,7.29,95%,7.8,3.13
438,1 7 10 12,7.29,92.7%,7.69,3.09
439,2 9 10 12,7.29,94%,7.62,2.85
440,4 8 10 12,7.29,95.8%,7.87,2.92
441,1 3 4 11,7.3,96.1%,7.81,2.93
442,3 7 7 9,7.3,86.5%,7.38,3.07
443,3 9 10 11,7.31,93.1%,7.73,2.99
444,3 5 5 6,7.33,89%,7.58,3.39
445,4 5 11 13,7.33,91%,7.86,3.45
446,1 1 6 8,7.34,95.1%,7.72,2.54
447,1 5 6 9,7.34,92.1%,7.88,3.7
448,5 5 13 13,7.34,85.2%,7.54,3.32
449,5 9 10 10,7.34,92.9%,7.8,3.17
450,1 6 8 13,7.35,94.6%,7.82,2.92
451,4 8 11 12,7.35,92.9%,7.9,3.26
452,2 8 8 8,7.37,93.9%,7.95,3.47
453,3 4 5 12,7.37,97.1%,7.82,2.78
454,5 5 11 11,7.37,85.6%,7.62,3.61
455,5 6 11 11,7.37,87%,7.58,3.46
456,1 1 8 8,7.38,89.4%,7.8,3.9
457,7 10 10 11,7.38,93.9%,7.72,2.96
458,1 2 4 10,7.39,96.3%,7.85,3.16
459,1 7 9 13,7.39,94%,7.69,2.65
460,2 6 7 9,7.39,96.3%,7.91,3.05
461,3 8 8 12,7.39,91.8%,7.89,3.28
462,2 2 3 9,7.4,94.7%,7.86,2.89
463,4 5 5 8,7.4,88.1%,7.55,3
464,4 7 12 13,7.4,92.3%,7.93,3.43
465,1 6 6 9,7.41,90.7%,7.86,3.33
466,3 5 5 12,7.41,89%,7.75,3.45
467,5 5 7 8,7.41,92.8%,7.87,3.03
468,3 5 13 13,7.42,94%,7.88,3.13
