Rank,Puzzles,AMT (s),Solved rate,1-sigma Mean (s),1-sigma STD (s)
934,2 2 7 12,10.84,83.6%,10.45,4.73
935,4 6 6 9,10.85,87.9%,11.08,5.55
936,5 8 11 12,10.85,87.1%,11.03,4.46
937,6 6 7 12,10.86,84.3%,10.56,5.02
938,1 3 9 9,10.87,84.9%,10.44,4.22
939,2 3 6 6,10.87,92.3%,11.34,4.46
940,2 3 9 10,10.88,89.9%,11.11,4.45
941,4 5 10 12,10.89,86.4%,10.68,4.52
942,6 7 8 11,10.91,83.9%,10.7,5.28
943,1 2 3 13,10.92,91.6%,11.28,4.86
944,1 2 7 11,10.92,88.3%,11.07,4.9
945,2 5 10 10,10.93,78.7%,10.04,4.31
946,6 9 9 11,10.97,82.2%,10.16,5.19
947,6 7 10 12,11.01,85.4%,11,4.92
948,2 3 6 13,11.02,90%,11.2,4.64
949,2 5 7 7,11.03,82.5%,10.55,4.76
950,5 6 7 13,11.04,86.2%,11.01,5.65
951,6 11 12 13,11.05,79.8%,10.09,5.26
952,3 4 6 8,11.06,90.5%,11.55,5.12
953,5 10 12 13,11.06,83%,10.53,4.56
954,1 4 4 11,11.07,86.5%,11.05,5.51
955,1 7 10 13,11.07,83.6%,10.61,4.74
956,1 2 6 10,11.1,86.6%,11.07,5.04
957,1 9 10 13,11.16,83.9%,10.67,4.63
958,1 3 8 13,11.21,90.2%,11.49,5.17
959,1 2 2 9,11.22,82.4%,10.43,4.75
960,1 6 6 6,11.23,85.9%,10.69,5.16
961,3 3 4 11,11.24,88.5%,11.33,5.6
962,4 4 8 12,11.24,92%,11.95,5.28
963,6 10 12 13,11.25,81.8%,10.66,5
964,7 8 8 12,11.25,82.5%,10.68,4.66
965,2 7 12 13,11.29,80%,10.4,5.27
966,3 4 9 13,11.32,78.9%,9.97,5.6
967,2 4 5 6,11.35,91.1%,11.75,4.5
968,2 6 8 13,11.36,86.5%,11.25,5.25
969,3 5 7 10,11.36,84.7%,11.04,5.28
970,5 9 12 12,11.37,82.8%,11.12,4.95
971,2 3 4 7,11.38,86.5%,11.17,4.99
972,2 2 5 12,11.39,84%,11.03,5.31
973,3 3 9 12,11.4,87.1%,11.39,5.11
974,2 3 4 9,11.42,88.3%,11.45,4.9
975,2 3 10 12,11.42,87%,11.55,4.29
976,3 3 6 12,11.42,87.3%,11.64,5.96
977,5 5 8 13,11.44,81.1%,10.9,4.61
978,2 6 7 11,11.46,82.7%,10.97,5.4
979,5 8 10 11,11.46,87.5%,11.27,4.94
980,1 5 6 7,11.53,89.4%,11.83,4.83
981,2 4 6 8,11.53,93.5%,11.94,4.42
982,5 8 8 8,11.55,81.1%,11,5.43
983,6 8 8 12,11.56,88.1%,11.72,5.1
984,4 9 10 13,11.59,82.3%,11.09,4.95
985,7 7 8 11,11.59,79.9%,10.52,4.76
986,3 4 6 6,11.6,90.6%,11.75,4.8
987,1 3 7 10,11.64,86.2%,11.57,5.45
988,2 4 9 12,11.64,87.1%,11.54,4.94
989,2 3 3 10,11.66,85%,11.7,5.07
990,4 4 5 11,11.67,85.2%,11.5,4.85
991,4 10 12 13,11.69,81.6%,10.92,5.77
992,2 4 4 6,11.71,90%,11.98,4.84
993,5 6 6 8,11.75,81.1%,11.06,6.23
994,1 5 12 12,11.78,80.5%,10.73,5.12
995,2 3 4 5,11.78,84.4%,11.28,5.67
996,3 9 10 13,11.78,82.5%,11.66,6.73
997,4 4 7 10,11.78,74.8%,9.55,4.77
998,8 8 10 12,11.78,78.2%,10.35,5.98
999,4 4 9 12,11.8,78.2%,10.65,5.02
1000,1 3 4 8,11.81,89.6%,12.03,4.84
1001,2 4 6 11,11.81,85%,11.47,5.65
1002,2 2 8 9,11.82,86.7%,11.96,5.25
1003,3 7 9 11,11.82,88.4%,11.96,4.87
1004,2 3 5 7,11.83,89.4%,11.92,4.97
1005,1 5 7 9,11.84,84.9%,11.36,4.97
1006,1 4 7 7,11.85,85.1%,11.6,4.82
1007,1 6 7 9,11.85,84.3%,11.5,4.8
1008,1 3 7 12,11.86,85.4%,11.38,5.14
1009,3 3 5 13,11.87,85.2%,11.6,4.83
1010,3 4 8 12,11.91,87.7%,11.83,5.67
1011,3 6 7 13,11.91,82.5%,11.19,6.15
1012,4 5 6 13,12.01,78.3%,10.62,5.22
1013,7 8 10 10,12.03,78.9%,11.21,5.3
1014,8 9 9 12,12.03,82.3%,11.23,4.86
1015,4 5 5 10,12.04,81.7%,11.21,4.51
1016,4 8 11 13,12.06,82.4%,11.22,5.49
1017,3 3 5 12,12.07,86.9%,12,5.39
1018,1 4 8 9,12.09,88.7%,12.28,5.3
1019,3 5 10 13,12.09,82.5%,11.27,5.48
1020,3 4 6 9,12.13,82.6%,11.42,5.82
1021,4 6 7 12,12.13,81.5%,11.69,5.75
1022,2 7 9 11,12.17,83.4%,11.72,5.56
1023,3 5 6 10,12.17,85.7%,11.94,5.67
1024,3 5 7 9,12.17,86%,11.89,5.12
1025,6 8 9 12,12.18,86.2%,12.07,5.23
1026,5 5 8 12,12.2,79.2%,11.17,5.16
1027,1 3 3 6,12.21,87.3%,12.19,5.22
1028,1 3 7 7,12.22,85.2%,11.87,4.85
1029,2 5 6 6,12.23,78.3%,10.7,6.22
1030,2 5 8 10,12.24,82.2%,11.34,5.02
1031,3 7 8 11,12.29,83.1%,11.76,6.05
1032,2 3 7 13,12.3,86.2%,12.1,5.45
1033,2 6 10 13,12.3,84.8%,11.82,5.63
1034,2 3 5 13,12.33,86.1%,12.24,5.44
1035,3 7 9 12,12.33,85.6%,12.07,5.72
1036,6 7 9 9,12.34,80.5%,11.5,6.26
1037,4 6 6 12,12.36,85.8%,12.14,6.15
1038,5 8 10 12,12.38,83.9%,11.65,5.31
1039,1 5 8 11,12.39,89.3%,12.72,5.61
1040,4 6 8 13,12.4,80.1%,11.29,5.27
1041,4 8 8 10,12.41,85.6%,12.2,5.73
1042,2 4 4 10,12.49,89.9%,12.74,5.31
1043,2 5 7 13,12.51,84.3%,12.2,5.85
1044,2 5 5 7,12.52,82.3%,11.95,5.09
1045,7 8 9 10,12.54,79.4%,11.37,5.52
1046,2 9 11 13,12.61,82.1%,11.92,5.74
1047,3 3 3 11,12.61,78.7%,11.32,5.72
1048,1 2 7 12,12.68,76.5%,10.48,6.01
1049,6 9 9 12,12.73,86.8%,12.56,5.89
1050,3 4 8 9,12.77,88.1%,12.81,5.29
1051,4 4 6 10,12.79,88.3%,12.74,5.32
1052,4 8 9 13,12.79,82%,11.71,6.44
1053,2 3 6 12,12.82,91.5%,13.23,5.38
1054,2 5 7 11,12.88,82%,12.21,6.09
1055,2 4 4 5,12.92,81.3%,11.87,5.49
1056,1 4 5 7,12.93,87.9%,12.84,5.38
1057,4 8 12 12,12.94,85.8%,12.4,6.01
1058,1 4 7 9,12.95,82.1%,12.17,5.19
1059,2 5 11 12,12.97,77.1%,11.15,5.83
1060,7 7 9 10,12.98,75.7%,11.53,5.26
1061,7 10 10 12,13.05,77.8%,11.81,5.69
1062,4 4 7 8,13.06,83.9%,12.8,5.89
1063,7 9 10 11,13.06,77.2%,11.51,5.72
1064,3 4 9 9,13.08,84.6%,12.68,5.28
1065,4 6 9 13,13.12,85.6%,13.11,5.46
1066,2 6 6 7,13.14,78.4%,11.38,5.97
1067,2 4 5 7,13.17,77.9%,11.66,5.78
1068,4 9 10 11,13.17,76.2%,11.23,6
1069,3 3 6 8,13.22,74.1%,10.93,5.97
1070,4 4 6 9,13.23,76.8%,11.22,5.98
1071,3 5 11 12,13.27,79.5%,11.81,5.82
1072,3 5 6 11,13.28,82.9%,12.68,6.93
1073,3 3 3 4,13.29,82.1%,12.11,6.12
1074,2 4 8 13,13.39,81.9%,12.55,6.11
1075,6 9 10 12,13.41,79.6%,12.08,6.28
1076,2 5 10 13,13.43,82.4%,12.95,6.18
1077,3 3 5 10,13.43,83%,12.48,5.45
1078,3 3 9 13,13.44,74.4%,11.12,6.21
1079,4 10 11 13,13.46,75.7%,11.25,6.09
1080,1 5 8 13,13.5,80%,12.08,6.15
1081,2 3 3 3,13.52,81.9%,12.38,6.1
1082,1 4 5 9,13.58,81.9%,12.58,6.85
1083,2 3 5 10,13.63,80.4%,12.44,5.6
1084,3 5 7 8,13.63,85.6%,13.38,6.2
1085,2 3 8 8,13.66,79.7%,12.39,6.11
1086,5 6 10 12,13.66,75.6%,11.72,5.94
1087,5 7 7 9,13.66,73.7%,11.57,5.34
1088,4 7 10 12,13.67,79.1%,12.15,5.94
1089,2 2 2 7,13.81,72.2%,10.44,6.28
1090,5 7 11 13,13.82,70.5%,10.57,5.62
1091,5 5 7 10,13.84,74.1%,11.96,5.36
1092,3 5 6 13,13.85,75.7%,11.89,5.88
1093,4 4 6 8,13.85,83.2%,12.99,7.05
1094,1 4 6 6,13.91,80.1%,12.47,6.64
1095,4 5 8 13,13.92,77.8%,12.14,6.24
1096,1 4 5 8,13.96,82.1%,13.06,6
1097,4 4 5 12,13.96,79%,12.35,6.56
1098,5 7 10 10,13.97,77.3%,12.68,5.62
1099,5 9 10 13,14.05,77.9%,12.28,6.15
1100,6 7 7 10,14.11,72.1%,11.31,5.55
1101,7 10 11 13,14.11,73.7%,11.57,6.11
1102,2 7 10 11,14.18,78.8%,12.91,6.41
1103,2 8 10 13,14.18,80.9%,13.22,6.34
1104,6 9 11 12,14.18,74.8%,11.64,6.28
1105,1 5 6 11,14.19,80.6%,12.73,6.84
1106,4 10 10 12,14.19,77.7%,12.6,6.48
1107,6 9 11 13,14.29,71.9%,11.01,6.45
1108,6 8 11 12,14.32,77.5%,12.76,5.92
1109,2 2 2 9,14.34,75.6%,11.68,6.75
1110,1 1 6 9,14.38,80.3%,12.33,6.88
1111,2 3 7 8,14.42,80.1%,13.29,5.85
1112,1 3 6 10,14.48,82%,12.82,6.99
1113,3 3 9 11,14.5,79.3%,13.45,5.88
1114,3 5 5 11,14.5,80.1%,13.47,5.67
1115,1 3 7 9,14.55,80.3%,13.1,5.74
1116,3 3 8 10,14.57,81.5%,13.85,5.76
1117,3 8 9 11,14.65,79.4%,13.37,7.19
1118,2 4 7 9,14.66,80.3%,13.64,6.51
1119,2 10 12 13,14.75,81%,13.8,6.41
1120,2 3 8 9,14.82,80.9%,13.5,6.63
1121,3 5 9 9,14.83,78.7%,13.53,6.38
1122,2 2 5 9,14.84,73.4%,12.27,6.52
1123,4 5 8 10,14.86,75.4%,12.18,6.27
1124,2 4 9 10,14.87,79.4%,13.6,6.28
1125,3 5 12 12,14.92,67.9%,10.14,6.12
1126,5 7 9 11,15.02,70.5%,11.45,6.05
1127,5 5 9 11,15.03,71.5%,12.61,5.45
1128,6 12 12 12,15.03,75.7%,12.4,7.08
1129,2 5 9 10,15.1,77.7%,13.54,6.4
1130,1 3 5 6,15.11,86.8%,14.73,6.03
1131,4 6 9 12,15.16,77.1%,13.1,7.18
1132,2 2 3 4,15.19,77%,13.19,6.03
1133,5 6 6 12,15.31,80.7%,14.09,6.38
1134,3 3 4 13,15.35,75.9%,12.86,7.12
1135,4 4 4 10,15.37,76.6%,13.2,6.54
1136,3 4 7 12,15.38,82.4%,14.64,6.53
1137,3 4 10 10,15.43,75.1%,13.42,6.34
1138,3 6 8 13,15.44,81.9%,14.88,6.52
1139,2 6 9 12,15.45,82.8%,14.42,6.84
1140,6 7 10 10,15.51,69.8%,11.57,6.45
1141,5 9 9 12,15.53,75.8%,13.77,6.95
1142,2 6 12 13,15.54,78.1%,14,6.19
1143,2 2 5 10,15.61,78.2%,14.07,6.04
1144,3 6 8 12,15.65,80.1%,14.32,6.33
1145,1 5 11 12,15.71,71%,11.95,6.31
1146,3 3 9 10,15.71,77.7%,14.15,6.48
1147,3 4 4 11,15.75,76%,13.45,6.83
1148,3 4 4 10,15.9,76.1%,12.86,7.13
1149,3 6 6 13,15.94,72.5%,12.79,6.96
1150,2 4 10 11,15.95,79.5%,14.53,6.58
1151,6 10 10 13,15.97,68.5%,11.67,6.47
1152,2 5 9 11,16,76.6%,14.01,7.42
1153,2 2 7 7,16.01,69.7%,11.92,6.34
1154,2 5 8 8,16.07,71.5%,12.28,6.88
1155,3 6 11 13,16.12,72.2%,12.13,7.17
1156,4 7 8 12,16.13,79%,14.56,7.03
1157,4 5 8 11,16.23,72.6%,12.84,7.41
1158,5 5 5 12,16.23,66.9%,10.69,6.48
1159,5 7 8 10,16.26,70.2%,12.79,6.1
1160,2 5 5 9,16.29,78.7%,14.86,6.17
1161,5 7 12 12,16.29,65.8%,10.85,6.38
1162,1 4 4 6,16.32,79.7%,14.36,7.06
1163,2 6 11 12,16.46,77%,14.59,6.73
1164,7 9 12 12,16.46,63.8%,9.94,5.91
1165,2 3 8 10,16.61,81.7%,15.66,6.84
1166,5 6 9 13,16.69,69%,12.75,6.24
1167,2 6 10 11,16.71,73.9%,13.8,7.08
1168,4 4 5 13,16.73,72.2%,12.95,7.67
1169,4 6 8 10,16.85,75.8%,13.72,8.18
1170,7 7 7 12,16.87,64.1%,9.63,6.4
1171,2 3 6 7,16.94,81%,15.63,6.96
1172,5 5 6 8,16.96,78.8%,15.29,6.73
1173,4 5 7 13,16.98,72.2%,13.22,6.64
1174,1 3 8 10,17.01,70.7%,12.97,6.9
1175,1 3 12 13,17.05,75.5%,14.49,7.32
1176,3 3 8 13,17.05,68.7%,12.07,6.66
1177,1 5 5 10,17.12,70.7%,12.68,7.57
1178,3 10 11 13,17.22,71%,13.98,6.7
1179,1 4 10 12,17.53,71.8%,13.42,7.13
1180,4 9 9 12,17.53,71%,14.01,6.83
1181,2 3 7 7,17.57,76.8%,15.74,6.84
1182,3 9 9 13,17.62,67.5%,12.87,6.54
1183,1 3 11 12,17.63,75.4%,15.05,7.59
1184,2 2 6 7,17.71,72.4%,14.06,7.52
1185,2 7 10 10,17.78,68.2%,14.08,6.21
1186,2 6 6 9,17.8,72.4%,13.91,6.91
1187,6 6 9 10,17.85,69.9%,14.09,7.31
1188,2 3 7 10,17.9,77.1%,15.56,7.11
1189,6 10 11 12,17.91,69.2%,13.81,6.76
1190,2 4 4 9,17.98,72.9%,14.12,7.84
1191,6 8 9 10,18.01,70.9%,13.78,7.71
1192,6 6 6 10,18.09,65.7%,12.05,6.82
1193,2 2 9 12,18.25,72.8%,15.6,6.77
1194,4 7 8 11,18.25,67.5%,11.89,7.4
1195,5 7 7 10,18.28,67.8%,14.03,7.11
1196,10 12 12 12,18.42,64%,11.04,6.3
1197,3 8 9 13,18.48,74.2%,16.11,7.5
1198,3 5 7 12,18.52,71.4%,14.78,8.04
1199,3 5 8 9,18.59,75.6%,16.44,7.84
1200,2 6 8 9,18.64,73%,15.73,6.87
1201,2 8 10 12,18.67,80.2%,17.21,7.91
1202,8 8 8 11,18.71,62.9%,11.08,6.5
1203,4 5 6 9,18.93,75.5%,16.89,7.15
1204,3 5 12 13,18.99,68.4%,14.94,6.82
1205,2 6 9 10,19.09,69.7%,15.19,6.95
1206,3 9 9 11,19.22,69.6%,14.71,7.88
1207,8 10 12 13,19.25,67.2%,14.93,6.74
1208,3 4 8 13,19.33,69.5%,14.53,8.31
1209,3 6 8 10,19.49,65.6%,12.79,7.32
1210,2 7 10 12,19.57,70.8%,16.12,7.07
1211,2 4 7 8,19.71,76.5%,17.46,7.61
1212,2 6 7 10,19.71,69.4%,13.89,7.74
1213,2 2 9 10,19.9,65.5%,14.88,7.61
1214,4 8 9 12,20.11,72.5%,17.18,7.3
1215,2 3 10 10,20.16,69%,15.13,7.79
1216,9 9 9 12,20.17,62.9%,10.81,7.42
1217,1 3 3 8,20.32,73.7%,16.4,8.03
1218,2 2 4 4,20.78,71.1%,15.75,8.52
1219,1 5 7 10,20.87,70.1%,16.84,7.99
1220,2 3 11 11,20.91,67.6%,15.89,7.95
1221,8 10 12 12,21.01,63.4%,12.14,7.79
1222,6 8 8 9,21.04,62.7%,12.35,7.49
1223,1 3 8 11,21.37,73.2%,17.58,8.47
1224,3 5 9 10,21.38,67.4%,15.59,8.34
1225,2 2 4 12,21.4,75%,16.78,9.89
1226,5 9 12 13,21.45,64.4%,16.37,7.5
1227,3 6 9 13,21.63,69.5%,17.91,8.07
1228,4 4 8 9,21.72,69.6%,17.46,8.57
1229,9 11 12 12,21.98,58.7%,11.28,6.74
1230,2 3 5 8,21.99,73.7%,18.68,8.07
1231,6 8 10 11,22.08,63.5%,14.69,7.91
1232,7 8 8 10,22.08,60.8%,13.16,8.52
1233,3 3 7 8,22.09,69.2%,17.76,8.42
1234,3 5 10 11,22.14,68.7%,16.87,8.83
1235,1 2 8 10,22.31,66.8%,16.01,8.21
1236,1 6 10 12,22.56,65.2%,15.16,8.56
1237,2 3 3 5,22.58,69.3%,16.73,8.98
1238,2 7 12 12,22.69,61.7%,13.15,8.03
1239,2 3 9 12,22.75,65.6%,14.19,8.3
1240,2 4 5 10,23.15,68.1%,17.82,8.45
1241,2 9 10 10,23.19,61.8%,17.42,7.88
1242,3 5 7 11,23.22,63.8%,15.52,8.55
1243,4 5 7 10,23.41,63.2%,15.56,8.55
1244,5 7 10 13,23.49,61.5%,17.06,7.76
1245,5 9 11 13,23.68,61.5%,16.94,7.78
1246,2 3 6 8,23.82,75.5%,20.71,8.95
1247,10 10 10 12,24.12,59.2%,11.58,7.99
1248,1 5 9 12,24.73,62.7%,14.95,9.19
1249,3 4 5 13,24.86,66.1%,18.88,8.85
1250,4 10 11 12,25.09,63.1%,17.78,8.99
1251,5 7 9 10,25.64,61.4%,16.9,9.49
1252,4 9 10 12,26.14,62.1%,17.62,9.49
1253,6 6 7 11,26.16,58%,14.08,8.71
1254,2 5 10 12,26.24,64.3%,18.98,9.32
1255,2 2 6 11,26.72,61.9%,19.4,9.25
1256,5 6 6 9,26.76,59.2%,15.08,9.22
1257,8 9 11 11,26.84,57.9%,17.05,9.1
1258,8 8 9 12,26.85,56.5%,13.48,8.06
1259,2 2 5 8,26.86,62.9%,17.42,9.4
1260,3 4 4 4,26.94,66.6%,19.43,10.67
1261,2 4 5 5,27.07,59.4%,16.25,8.88
1262,5 6 7 9,27.75,59.8%,16.83,9.43
1263,4 7 8 10,28.11,62.2%,19.91,9.81
1264,3 4 7 8,28.44,59.7%,15.69,9.04
1265,3 9 11 13,28.63,56.9%,14.83,8.97
1266,3 5 10 10,28.66,53.5%,13.79,7.73
1267,3 4 5 11,29.13,63.4%,21.36,10.43
1268,2 3 13 13,29.14,58.4%,19.03,10.21
1269,1 4 9 13,29.16,61.2%,20.03,10.6
1270,4 10 10 11,29.26,54.5%,19.96,9.39
1271,1 7 12 13,29.67,55.2%,15.92,9.67
1272,2 6 9 9,30.4,56.8%,15.8,9.28
1273,3 3 6 6,31.22,57.2%,15.51,9.38
1274,2 5 12 13,31.73,58.3%,22.37,10.04
1275,4 4 7 13,31.75,53.6%,15.75,9.66
1276,4 5 9 12,31.9,59.6%,23.6,10.97
1277,6 6 9 13,32.21,53.5%,14.41,9.26
1278,2 3 7 9,32.32,58.2%,19.34,10.85
1279,2 2 7 10,33.07,53.1%,17.64,9.69
1280,3 6 7 10,34.07,57.5%,22.85,10.96
1281,1 4 6 10,34.44,55.6%,20.49,10.37
1282,1 2 7 7,34.95,54.5%,18.41,10.93
1283,2 5 8 12,35.65,54.4%,19.02,10.69
1284,2 5 7 9,35.67,53.4%,24.21,10.63
1285,6 7 11 11,35.8,47.5%,20.81,10.55
1286,3 8 10 12,36.47,53.6%,21.38,11.19
1287,2 2 3 10,36.56,54.3%,18.98,10.93
1288,2 4 7 7,36.66,51%,18.01,9.94
1289,4 7 9 11,37.6,52.1%,23.65,11.51
1290,7 9 11 12,39.02,49.8%,19.2,11.3
1291,2 2 6 9,39.56,50.8%,19.42,11.07
1292,5 5 8 11,40.08,47.1%,25.53,11.68
1293,2 2 3 5,41.26,50.8%,16.31,9.58
1294,3 6 6 10,41.74,49.9%,19.98,11.6
1295,1 5 11 11,44.24,43.3%,17.55,10.71
1296,7 8 9 12,44.49,47.9%,17.13,10.6
1297,5 10 10 11,47.01,41%,15.95,7.96
1298,4 9 11 11,47.43,44.5%,26.56,14.54
1299,1 5 5 5,47.97,43.5%,13,8.1
1300,1 2 9 11,48.61,44.6%,24.31,13.44
1301,5 9 10 11,49.04,43.3%,29.58,14.3
1302,6 7 7 11,49.7,43.1%,29.01,15.31
1303,1 7 13 13,49.75,40.8%,15.49,9.69
1304,5 10 10 13,53.3,38.7%,18.13,8.57
1305,8 9 10 12,53.31,42.9%,23.63,14.71
1306,3 5 8 13,54.08,42.6%,31.72,15.12
1307,2 5 6 9,54.71,44.5%,28.77,14.38
1308,3 3 7 7,55.32,40.1%,13.99,8.62
1309,1 6 11 13,57.73,37.7%,20.45,11.41
1310,4 6 6 10,58.41,39.9%,23.9,13.23
1311,1 3 9 10,59.31,40.9%,24.84,13.64
1312,4 4 7 7,59.8,38.6%,16.33,9.52
1313,4 5 6 12,61.02,43.7%,22.28,16.21
1314,5 7 9 12,61.29,39.7%,19.05,12.2
1315,4 6 7 9,61.62,41.6%,21.16,13.12
1316,4 7 11 13,63.33,37.4%,32.57,17.04
1317,4 5 6 11,63.68,38.1%,20.86,11.92
1318,5 7 10 11,64.98,36.2%,24.8,14.03
1319,5 8 9 13,65.12,36.6%,35.37,17.03
1320,2 2 11 11,65.54,39.1%,14.58,9.78
1321,3 4 6 13,65.55,39.9%,21.46,12.53
1322,4 4 10 10,66.37,39.2%,14.58,9.91
1323,3 5 8 12,66.47,38.2%,28.89,14.32
1324,2 4 11 12,67.74,39.6%,25.73,14.92
1325,7 10 12 13,68.3,37.5%,23.25,13.55
1326,6 7 8 12,68.33,40%,18.75,13.44
1327,6 12 12 13,69.33,36.7%,16.27,9.34
1328,2 2 13 13,71.21,36.5%,16,9.85
1329,5 6 8 13,71.22,36%,24.24,12.91
1330,1 4 7 11,74.72,36%,31.98,17.54
1331,6 11 12 12,74.73,35%,16.95,10.13
1332,2 7 8 9,75.69,38.8%,19.91,12.36
1333,5 6 9 11,77.03,33.4%,27.84,15.74
1334,2 2 6 13,77.71,33.1%,32.25,17.61
1335,6 9 9 10,79.32,32.5%,35.45,19.77
1336,4 8 8 13,88.2,29.8%,25.89,15.4
1337,7 8 8 13,89.07,29.4%,28.24,16.22
1338,2 5 7 8,90.46,33%,28.82,16.54
1339,5 7 7 11,92.48,27.5%,26.83,13.56
1340,3 3 7 13,93.68,27.4%,33.84,19.66
1341,2 7 7 10,94.8,27.4%,28.63,14.29
1342,3 8 8 10,96.93,28.9%,28.22,18.17
1343,5 5 7 11,97.28,26.5%,28.12,15.24
1344,2 2 10 11,97.8,30.7%,27.27,17.87
1345,2 3 8 13,101.06,31.1%,25.16,14.25
1346,9 11 12 13,101.46,29.1%,23.32,14.16
1347,4 8 8 11,101.99,29.5%,25.13,15.54
1348,1 8 12 12,105.21,28.9%,22.94,14.48
1349,7 8 10 11,106.93,29.5%,26.44,16.05
1350,2 9 13 13,110.69,25.3%,32.32,20.1
1351,3 3 5 7,111.86,29.1%,31.16,20.08
1352,3 7 9 13,113.44,26.1%,40.76,22.03
1353,3 6 6 11,116.34,26.9%,27.28,17.26
1354,2 4 10 10,119.64,25.5%,30.74,19.99
1355,2 4 7 12,121.24,27.1%,31.98,19.3
1356,1 6 6 8,124.94,27.9%,24.22,15.4
1357,3 5 7 13,125.59,23.7%,41.21,22.66
1358,3 3 8 8,131.38,29.9%,16.63,11.58
1359,1 4 5 6,182.06,28.6%,20.37,13.91
1360,2 5 5 10,199.6,21.4%,24.86,17.63
1361,1 3 4 6,203.84,26.8%,21.76,14.2
1362,2 3 5 12,212.42,20.1%,31.15,23.49
